"","asia","tub","smoke","lung","bronc","either","xray","dysp"
"1329","no","no","no","no","no","no","no","no"
"1330","no","no","no","no","no","no","no","no"
"1331","no","no","no","no","no","no","no","no"
"1332","no","no","yes","no","no","no","no","no"
"1333","no","no","no","no","no","no","no","no"
"1334","no","no","yes","no","yes","no","no","yes"
"1335","no","no","no","no","no","no","no","no"
"1336","no","no","yes","no","yes","no","no","yes"
"1337","no","no","yes","no","yes","no","no","yes"
"1338","no","no","yes","no","yes","no","no","no"
"1339","no","no","no","no","yes","no","no","yes"
"1340","no","no","no","no","no","no","no","no"
"1341","no","no","no","no","yes","no","no","yes"
"1342","no","no","yes","no","yes","no","no","yes"
"1343","no","no","no","no","yes","no","no","yes"
"1344","no","no","no","no","no","no","no","no"
"1345","no","no","yes","no","yes","no","no","yes"
"1346","no","no","no","no","yes","no","no","yes"
"1347","no","no","yes","no","no","no","no","no"
"1348","no","no","no","no","yes","no","no","yes"
"1349","no","no","yes","no","no","no","no","no"
"1350","no","no","yes","no","no","no","no","no"
"1351","no","no","yes","no","no","no","no","no"
"1352","no","no","yes","no","no","no","no","no"
"1353","no","no","no","no","no","no","no","yes"
"1354","no","no","yes","no","no","no","no","no"
"1355","no","no","yes","no","no","no","no","no"
"1356","no","no","no","no","no","no","no","no"
"1357","no","no","yes","no","yes","no","no","yes"
"1358","no","no","no","no","no","no","no","no"
"1359","no","no","no","no","no","no","yes","no"
"1360","yes","yes","yes","no","yes","yes","yes","yes"
"1361","no","no","yes","no","no","no","no","no"
"1362","no","no","yes","no","no","no","no","no"
"1363","no","no","yes","no","yes","no","no","no"
"1364","no","no","no","no","yes","no","no","yes"
"1365","no","no","no","no","no","no","no","no"
"1366","no","no","yes","no","yes","no","no","yes"
"1367","no","no","yes","no","no","no","no","no"
"1368","no","no","yes","no","no","no","no","yes"
"1369","no","no","yes","no","yes","no","no","yes"
"1370","no","no","no","no","no","no","no","no"
"1371","no","no","yes","no","yes","no","no","yes"
"1372","no","no","yes","no","no","no","no","no"
"1373","no","no","yes","no","no","no","no","no"
"1374","no","no","yes","yes","no","yes","yes","no"
"1375","no","no","no","no","no","no","no","no"
"1376","no","no","yes","no","yes","no","no","yes"
"1377","no","no","no","no","no","no","no","no"
"1378","no","no","no","no","no","no","no","no"
"1379","no","no","no","no","yes","no","no","no"
"1380","no","no","yes","no","no","no","yes","yes"
"1381","no","no","no","no","no","no","no","no"
"1382","no","no","yes","no","no","no","no","no"
"1383","no","no","no","no","yes","no","no","yes"
"1384","no","no","no","no","no","no","no","no"
"1385","no","no","no","no","no","no","no","no"
"1386","no","yes","yes","no","no","yes","yes","yes"
"1387","no","no","no","no","no","no","no","no"
"1388","no","no","no","no","no","no","no","no"
"1389","no","no","no","no","yes","no","no","yes"
"1390","no","no","no","no","no","no","no","no"
"1391","no","no","yes","no","yes","no","no","yes"
"1392","no","no","no","no","no","no","no","no"
"1393","no","yes","yes","no","no","yes","yes","no"
"1394","no","no","yes","yes","yes","yes","yes","yes"
"1395","no","no","yes","no","yes","no","no","yes"
"1396","no","no","no","no","no","no","no","no"
"1397","no","no","yes","no","no","no","no","no"
"1398","no","no","no","no","yes","no","no","yes"
"1399","no","no","no","no","yes","no","no","no"
"1400","no","no","no","no","no","no","no","no"
"1401","no","no","no","no","no","no","no","no"
"1402","no","no","yes","no","no","no","yes","no"
"1403","no","no","yes","no","yes","no","no","yes"
"1404","no","no","yes","yes","yes","yes","yes","yes"
"1405","no","no","no","no","no","no","no","no"
"1406","no","no","no","no","no","no","no","no"
"1407","no","no","no","no","yes","no","no","yes"
"1408","no","no","no","no","yes","no","no","yes"
"1409","no","no","no","no","no","no","no","no"
"1410","no","no","yes","no","yes","no","no","yes"
"1411","no","no","no","no","no","no","no","no"
"1412","no","yes","no","no","yes","yes","yes","yes"
"1413","no","no","yes","no","yes","no","no","yes"
"1414","no","no","no","no","no","no","no","no"
"1415","no","no","yes","yes","yes","yes","yes","yes"
"1416","no","no","no","no","no","no","no","no"
"1417","no","no","no","no","no","no","no","no"
"1418","no","no","yes","no","yes","no","no","yes"
"1419","no","no","no","no","no","no","no","no"
"1420","no","yes","yes","no","yes","yes","no","yes"
"1421","no","no","yes","no","yes","no","no","yes"
"1422","no","no","no","no","no","no","no","no"
"1423","no","no","yes","no","yes","no","no","yes"
"1424","no","no","no","no","no","no","no","yes"
"1425","no","no","yes","no","yes","no","no","yes"
"1426","no","no","yes","yes","yes","yes","yes","yes"
"1427","no","no","yes","no","yes","no","no","yes"
"1428","no","no","no","no","no","no","no","no"
"1429","no","no","no","no","no","no","yes","no"
"1430","no","no","no","no","yes","no","no","yes"
"1431","no","no","yes","no","yes","no","no","yes"
"1432","no","no","yes","no","yes","no","no","no"
"1433","no","no","no","no","yes","no","no","yes"
"1434","no","no","no","no","yes","no","no","yes"
"1435","no","no","yes","no","yes","no","no","yes"
"1436","no","no","no","no","yes","no","no","yes"
"1437","no","no","yes","no","yes","no","no","yes"
"1438","no","no","no","no","no","no","no","no"
"1439","no","no","no","no","no","no","no","no"
"1440","no","no","no","no","no","no","no","yes"
"1441","no","no","yes","no","no","no","no","no"
"1442","no","no","yes","no","yes","no","no","no"
"1443","no","no","yes","yes","no","yes","yes","no"
"1444","no","no","yes","no","yes","no","no","yes"
"1445","no","no","yes","no","no","no","no","no"
"1446","no","no","no","no","no","no","no","no"
"1447","no","no","yes","no","yes","no","no","yes"
"1448","no","no","yes","no","no","no","no","no"
"1449","no","no","no","no","no","no","no","no"
"1450","no","no","no","no","yes","no","no","yes"
"1451","no","no","yes","yes","yes","yes","yes","yes"
"1452","no","no","yes","no","no","no","yes","no"
"1453","no","no","yes","no","no","no","no","no"
"1454","no","no","no","no","no","no","no","no"
"1455","no","no","no","no","no","no","no","no"
"1456","no","no","yes","no","yes","no","no","yes"
"1457","no","no","yes","no","yes","no","no","yes"
"1458","no","no","no","no","yes","no","no","yes"
"1459","no","no","no","no","yes","no","no","yes"
"1460","no","no","no","no","yes","no","no","yes"
"1461","no","no","no","no","no","no","no","no"
"1462","no","no","yes","no","no","no","no","no"
"1463","no","no","yes","no","no","no","no","no"
"1464","yes","no","yes","no","yes","no","no","no"
"1465","no","no","yes","yes","yes","yes","yes","yes"
"1466","no","no","no","no","no","no","no","no"
"1467","no","no","no","no","yes","no","no","yes"
"1468","no","no","no","no","no","no","no","no"
"1469","no","no","yes","no","no","no","no","no"
"1470","no","no","no","no","yes","no","no","yes"
"1471","no","no","no","no","no","no","no","no"
"1472","no","no","no","no","yes","no","no","no"
"1473","no","no","no","no","no","no","no","no"
"1474","no","no","no","no","no","no","no","no"
"1475","no","no","no","no","no","no","no","no"
"1476","no","no","yes","no","no","no","no","yes"
"1477","no","no","no","no","no","no","no","no"
"1478","no","no","no","no","no","no","no","no"
"1479","yes","no","no","no","yes","no","no","yes"
"1480","yes","yes","yes","no","no","yes","yes","yes"
"1481","no","no","yes","no","no","no","no","no"
"1482","no","no","yes","no","no","no","no","no"
"1483","no","no","yes","no","no","no","no","no"
"1484","no","no","no","no","no","no","no","no"
"1485","no","no","no","no","no","no","no","no"
"1486","no","no","no","no","no","no","no","no"
"1487","no","yes","yes","no","yes","yes","yes","yes"
"1488","no","no","yes","no","no","no","no","no"
"1489","no","no","yes","yes","yes","yes","yes","yes"
"1490","no","no","yes","yes","no","yes","yes","yes"
"1491","no","no","no","no","yes","no","no","yes"
"1492","no","no","no","no","yes","no","no","no"
"1493","no","no","no","no","no","no","no","no"
"1494","no","no","yes","no","no","no","no","no"
"1495","no","no","yes","no","yes","no","yes","yes"
"1496","no","no","no","no","no","no","no","yes"
"1497","no","no","yes","no","yes","no","no","yes"
"1498","no","no","yes","no","yes","no","no","yes"
"1499","no","no","yes","no","yes","no","yes","yes"
"1500","no","no","no","no","yes","no","no","yes"
"1501","no","no","no","no","no","no","no","no"
"1502","no","no","yes","yes","yes","yes","yes","yes"
"1503","no","no","yes","no","no","no","no","yes"
"1504","no","no","yes","no","yes","no","no","yes"
"1505","no","no","yes","no","yes","no","no","no"
"1506","no","no","yes","no","no","no","no","no"
"1507","no","no","yes","no","no","no","no","no"
"1508","no","no","yes","yes","yes","yes","yes","yes"
"1509","no","no","yes","yes","yes","yes","yes","no"
"1510","no","no","yes","no","no","no","no","no"
"1511","no","no","no","no","no","no","no","no"
"1512","no","no","yes","no","no","no","no","no"
"1513","no","no","no","no","no","no","no","no"
"1514","no","no","yes","no","no","no","no","no"
"1515","no","no","yes","no","no","no","no","no"
"1516","no","no","yes","no","yes","no","no","yes"
"1517","no","no","no","no","no","no","no","yes"
"1518","no","no","yes","no","no","no","no","no"
"1519","no","no","yes","no","no","no","no","no"
"1520","no","no","no","no","yes","no","no","yes"
"1521","no","no","yes","no","yes","no","no","yes"
"1522","no","no","yes","no","no","no","no","no"
"1523","no","no","no","no","yes","no","no","yes"
"1524","no","no","no","no","yes","no","no","yes"
"1525","no","no","yes","no","yes","no","no","yes"
"1526","no","no","yes","no","yes","no","no","yes"
"1527","no","no","no","no","no","no","no","no"
"1528","no","no","no","no","no","no","no","yes"
"1529","no","yes","yes","yes","yes","yes","yes","yes"
"1530","no","no","yes","no","yes","no","no","yes"
"1531","no","no","yes","no","yes","no","no","yes"
"1532","no","no","no","no","yes","no","no","yes"
"1533","no","no","no","no","yes","no","no","yes"
"1534","no","no","yes","no","yes","no","no","no"
"1535","no","no","no","no","no","no","no","no"
"1536","no","no","yes","no","no","no","no","no"
"1537","no","no","yes","no","yes","no","no","yes"
"1538","no","no","no","no","no","no","no","no"
"1539","no","no","yes","no","no","no","no","no"
"1540","no","no","no","no","no","no","no","no"
"1541","no","no","yes","no","yes","no","no","yes"
"1542","no","no","no","no","no","no","no","no"
"1543","no","no","no","no","yes","no","no","yes"
"1544","no","no","yes","no","yes","no","no","yes"
"1545","no","no","no","no","no","no","no","no"
"1546","no","no","no","no","no","no","no","no"
"1547","no","no","no","no","no","no","no","no"
"1548","no","no","no","no","no","no","no","no"
"1549","no","no","yes","no","no","no","no","no"
"1550","no","no","yes","no","yes","no","no","yes"
"1551","no","no","yes","no","yes","no","no","yes"
"1552","no","no","yes","no","yes","no","no","yes"
"1553","no","no","yes","yes","yes","yes","yes","yes"
"1554","no","no","yes","no","yes","no","no","yes"
"1555","no","no","yes","no","no","no","no","no"
"1556","no","no","yes","no","yes","no","no","yes"
"1557","no","no","no","no","yes","no","no","yes"
"1558","no","no","yes","no","no","no","no","no"
"1559","no","no","yes","no","yes","no","no","yes"
"1560","no","no","yes","no","yes","no","no","yes"
"1561","no","no","no","no","no","no","no","no"
"1562","no","no","no","no","no","no","no","no"
"1563","no","no","yes","yes","yes","yes","yes","yes"
"1564","no","no","no","no","yes","no","no","yes"
"1565","no","no","no","no","no","no","no","no"
"1566","no","no","no","no","no","no","no","no"
"1567","no","no","no","no","yes","no","no","no"
"1568","no","no","yes","no","no","no","no","no"
"1569","no","no","no","no","yes","no","no","yes"
"1570","no","no","no","no","yes","no","no","yes"
"1571","no","no","no","no","no","no","no","yes"
"1572","no","no","no","no","no","no","yes","no"
"1573","no","no","no","no","yes","no","no","yes"
"1574","no","no","yes","yes","yes","yes","yes","yes"
"1575","no","no","no","no","no","no","no","no"
"1576","no","no","no","no","yes","no","no","yes"
"1577","no","no","yes","yes","yes","yes","yes","yes"
"1578","no","no","yes","no","yes","no","yes","yes"
"1579","no","no","yes","no","yes","no","no","no"
"1580","no","no","no","no","yes","no","no","yes"
"1581","no","no","yes","no","yes","no","no","yes"
"1582","no","no","no","no","yes","no","no","yes"
"1583","no","no","no","no","yes","no","no","yes"
"1584","no","no","yes","no","no","no","yes","no"
"1585","no","no","no","no","no","no","no","no"
"1586","yes","no","yes","no","yes","no","no","yes"
"1587","no","no","yes","no","no","no","no","no"
"1588","no","no","yes","no","yes","no","no","yes"
"1589","no","no","no","no","no","no","no","no"
"1590","no","no","no","no","no","no","no","no"
"1591","no","no","no","no","yes","no","no","yes"
"1592","no","no","yes","no","yes","no","no","no"
"1593","no","no","no","no","no","no","no","no"
"1594","no","no","yes","no","yes","no","no","yes"
"1595","no","no","yes","no","yes","no","no","yes"
"1596","no","no","yes","no","no","no","no","no"
"1597","no","no","no","no","no","no","no","no"
"1598","no","no","yes","no","yes","no","no","yes"
"1599","no","no","yes","no","yes","no","no","no"
"1600","no","no","no","no","yes","no","no","yes"
"1601","no","no","no","no","no","no","no","no"
"1602","no","no","no","no","no","no","no","no"
"1603","no","no","no","no","no","no","no","no"
"1604","no","no","yes","no","no","no","yes","no"
"1605","no","no","yes","no","yes","no","no","yes"
"1606","no","no","yes","no","no","no","no","no"
"1607","no","yes","no","no","no","yes","yes","yes"
"1608","no","no","yes","no","no","no","no","no"
"1609","no","no","no","no","no","no","no","no"
"1610","no","no","yes","no","yes","no","no","yes"
"1611","no","no","yes","no","no","no","no","no"
"1612","no","no","no","no","no","no","no","no"
"1613","no","no","yes","no","yes","no","no","yes"
"1614","no","no","yes","yes","yes","yes","yes","yes"
"1615","no","no","no","no","no","no","no","no"
"1616","no","no","no","no","yes","no","no","yes"
"1617","no","no","no","no","yes","no","no","yes"
"1618","no","no","yes","no","yes","no","no","yes"
"1619","no","no","yes","no","yes","no","no","yes"
"1620","no","no","no","no","no","no","no","no"
"1621","no","no","no","no","no","no","no","no"
"1622","no","no","yes","no","yes","no","no","yes"
"1623","no","no","no","no","yes","no","no","yes"
"1624","no","no","no","no","no","no","no","yes"
"1625","no","no","no","no","yes","no","no","yes"
"1626","no","no","yes","no","yes","no","no","no"
"1627","no","no","yes","no","yes","no","no","yes"
"1628","no","no","no","no","no","no","no","no"
"1629","no","no","no","no","no","no","no","no"
"1630","no","no","no","no","no","no","no","no"
"1631","no","no","yes","no","no","no","no","yes"
"1632","no","no","no","no","yes","no","no","yes"
"1633","no","no","no","no","no","no","no","no"
"1634","no","no","no","no","yes","no","no","no"
"1635","no","no","no","no","no","no","no","no"
"1636","no","no","yes","no","yes","no","no","yes"
"1637","no","no","no","no","no","no","no","no"
"1638","no","no","no","no","no","no","no","no"
"1639","no","no","yes","no","yes","no","no","yes"
"1640","no","no","no","no","no","no","yes","no"
"1641","no","no","no","no","yes","no","no","yes"
"1642","no","yes","yes","no","yes","yes","yes","yes"
"1643","no","no","yes","yes","yes","yes","yes","yes"
"1644","no","no","no","no","no","no","no","no"
"1645","no","no","no","no","no","no","no","no"
"1646","no","no","yes","no","yes","no","no","no"
"1647","no","no","yes","no","no","no","no","no"
"1648","no","no","yes","no","yes","no","no","yes"
"1649","no","no","yes","no","no","no","no","no"
"1650","no","no","yes","no","no","no","yes","no"
"1651","no","no","no","no","yes","no","no","yes"
"1652","no","no","yes","yes","no","yes","yes","yes"
"1653","no","no","no","no","no","no","no","no"
"1654","no","no","no","no","yes","no","no","yes"
"1655","no","no","yes","no","no","no","no","no"
"1656","no","no","no","no","no","no","no","no"
"1657","no","no","no","no","no","no","no","no"
"1658","no","no","yes","no","yes","no","no","no"
"1659","no","no","no","no","no","no","no","no"
"1660","no","no","no","no","yes","no","no","yes"
"1661","no","no","yes","no","no","no","no","no"
"1662","no","no","yes","no","yes","no","no","yes"
"1663","no","no","no","no","no","no","no","no"
"1664","no","no","no","no","yes","no","no","yes"
"1665","no","no","yes","no","yes","no","no","yes"
"1666","no","no","no","no","no","no","no","no"
"1667","no","no","yes","no","yes","no","no","no"
"1668","no","no","yes","no","no","no","no","no"
"1669","no","no","yes","yes","yes","yes","yes","yes"
"1670","no","no","no","no","no","no","no","no"
"1671","no","no","no","no","yes","no","no","no"
"1672","no","no","no","no","yes","no","no","no"
"1673","no","no","no","no","yes","no","no","yes"
"1674","no","no","no","no","yes","no","no","yes"
"1675","no","no","no","no","yes","no","no","no"
"1676","no","no","yes","no","yes","no","no","yes"
"1677","no","no","no","no","no","no","no","no"
"1678","no","no","yes","yes","yes","yes","yes","yes"
"1679","no","no","yes","no","no","no","no","no"
"1680","no","no","no","no","no","no","no","no"
"1681","no","no","yes","no","yes","no","no","yes"
"1682","no","no","no","no","yes","no","no","yes"
"1683","no","no","yes","no","no","no","no","no"
"1684","no","no","no","yes","no","yes","yes","yes"
"1685","no","no","yes","yes","no","yes","yes","yes"
"1686","no","no","yes","yes","yes","yes","yes","no"
"1687","no","no","yes","no","yes","no","yes","yes"
"1688","no","no","no","no","no","no","no","no"
"1689","no","no","no","no","no","no","no","no"
"1690","no","no","yes","no","yes","no","no","yes"
"1691","no","no","yes","no","yes","no","no","yes"
"1692","no","no","no","no","yes","no","no","yes"
"1693","no","no","no","no","no","no","no","yes"
"1694","no","no","yes","no","no","no","no","no"
"1695","no","no","yes","no","no","no","no","no"
"1696","no","no","yes","yes","no","yes","yes","no"
"1697","no","no","yes","no","yes","no","no","yes"
"1698","no","no","yes","no","yes","no","no","yes"
"1699","no","no","yes","yes","no","yes","yes","no"
"1700","no","no","yes","no","no","no","no","no"
"1701","no","no","yes","no","yes","no","no","yes"
"1702","no","no","yes","no","no","no","no","no"
"1703","no","no","no","no","no","no","no","no"
"1704","no","no","no","no","no","no","no","no"
"1705","no","no","no","no","no","no","no","no"
"1706","no","no","no","no","no","no","no","no"
"1707","no","no","no","no","no","no","no","no"
"1708","no","no","yes","no","no","no","no","no"
"1709","no","no","yes","no","yes","no","no","yes"
"1710","no","no","yes","no","yes","no","no","yes"
"1711","no","no","no","no","yes","no","yes","yes"
"1712","no","no","yes","no","yes","no","no","yes"
"1713","no","no","no","no","yes","no","no","no"
"1714","no","no","yes","no","no","no","no","yes"
"1715","no","no","no","no","yes","no","no","yes"
"1716","no","no","no","no","yes","no","no","no"
"1717","no","no","no","no","no","no","no","no"
"1718","no","no","yes","no","yes","no","no","yes"
"1719","no","no","yes","no","yes","no","no","yes"
"1720","yes","no","yes","no","no","no","no","no"
"1721","no","no","yes","no","yes","no","no","yes"
"1722","no","no","yes","no","yes","no","no","no"
"1723","no","no","yes","no","yes","no","no","no"
"1724","no","no","no","no","no","no","no","no"
"1725","no","no","no","no","no","no","no","no"
"1726","no","no","no","no","no","no","no","no"
"1727","no","no","yes","no","yes","no","no","no"
"1728","no","no","no","no","yes","no","no","yes"
"1729","no","no","no","no","no","no","no","no"
"1730","no","no","no","no","yes","no","no","yes"
"1731","no","no","yes","no","yes","no","no","yes"
"1732","no","no","yes","no","no","no","no","no"
"1733","no","no","no","no","no","no","no","no"
"1734","no","no","no","no","no","no","no","no"
"1735","no","no","no","no","no","no","no","no"
"1736","no","no","no","no","no","no","no","no"
"1737","no","no","no","no","yes","no","no","yes"
"1738","no","no","yes","yes","yes","yes","yes","yes"
"1739","no","no","no","no","no","no","no","no"
"1740","no","no","no","no","yes","no","no","yes"
"1741","no","no","yes","no","no","no","no","no"
"1742","no","no","yes","no","no","no","no","no"
"1743","no","no","no","no","no","no","no","no"
"1744","no","no","yes","no","yes","no","no","no"
"1745","no","no","yes","yes","no","yes","yes","no"
"1746","no","no","yes","no","yes","no","no","no"
"1747","no","no","yes","no","yes","no","no","no"
"1748","no","no","no","no","no","no","no","no"
"1749","no","no","yes","no","yes","no","no","no"
"1750","no","no","no","no","no","no","no","no"
"1751","no","no","no","no","no","no","no","no"
"1752","no","no","no","no","no","no","no","no"
"1753","no","no","no","no","no","no","no","no"
"1754","no","no","yes","no","yes","no","no","no"
"1755","no","no","no","no","yes","no","no","yes"
"1756","no","no","no","no","no","no","no","no"
"1757","no","no","yes","no","yes","no","no","yes"
"1758","no","no","yes","no","yes","no","no","yes"
"1759","no","no","no","no","no","no","no","no"
"1760","no","no","yes","no","yes","no","no","yes"
"1761","no","no","yes","no","no","no","no","yes"
"1762","no","no","no","no","no","no","yes","no"
"1763","no","no","no","no","no","no","no","no"
"1764","no","no","no","no","yes","no","no","yes"
"1765","no","no","yes","no","no","no","no","no"
"1766","no","no","no","no","no","no","no","yes"
"1767","no","no","yes","no","no","no","no","no"
"1768","no","no","yes","no","yes","no","no","yes"
"1769","no","no","yes","no","no","no","no","no"
"1770","no","no","no","no","yes","no","no","no"
"1771","no","no","yes","no","yes","no","no","yes"
"1772","no","no","yes","no","no","no","no","no"
"1773","no","no","no","no","no","no","yes","no"
"1774","no","no","no","no","no","no","yes","no"
"1775","no","no","yes","no","yes","no","no","yes"
"1776","no","no","no","no","no","no","no","no"
"1777","no","no","yes","no","yes","no","no","yes"
"1778","no","no","yes","no","yes","no","no","yes"
"1779","no","no","no","no","no","no","no","no"
"1780","no","no","yes","no","no","no","no","no"
"1781","no","no","yes","yes","yes","yes","yes","yes"
"1782","no","no","yes","no","yes","no","no","yes"
"1783","no","no","no","no","no","no","no","no"
"1784","no","no","yes","no","yes","no","no","yes"
"1785","no","no","no","no","yes","no","no","no"
"1786","no","no","no","no","no","no","no","no"
"1787","no","no","yes","no","no","no","no","yes"
"1788","no","no","no","no","no","no","no","no"
"1789","no","no","no","no","no","no","no","no"
"1790","no","no","yes","no","yes","no","no","yes"
"1791","no","no","yes","no","no","no","no","no"
"1792","no","no","no","no","no","no","no","no"
"1793","no","no","no","no","no","no","no","no"
"1794","no","no","yes","no","yes","no","no","yes"
"1795","no","no","yes","no","yes","no","no","no"
"1796","no","no","yes","no","yes","no","no","yes"
"1797","no","no","no","no","no","no","no","no"
"1798","no","no","yes","no","yes","no","no","no"
"1799","no","no","no","no","no","no","no","no"
"1800","no","no","yes","no","no","no","no","no"
"1801","no","no","yes","no","no","no","no","no"
"1802","no","no","yes","no","yes","no","no","yes"
"1803","no","no","no","no","no","no","no","no"
"1804","no","no","no","no","no","no","no","no"
"1805","no","no","no","no","yes","no","no","no"
"1806","no","no","yes","yes","yes","yes","yes","yes"
"1807","no","no","yes","no","no","no","yes","yes"
"1808","no","no","yes","no","no","no","no","no"
"1809","no","no","no","no","no","no","no","no"
"1810","no","no","no","no","yes","no","no","yes"
"1811","no","no","yes","no","no","no","no","no"
"1812","no","no","yes","no","yes","no","no","yes"
"1813","no","no","no","no","yes","no","yes","yes"
"1814","no","no","no","no","yes","no","no","no"
"1815","no","no","yes","no","yes","no","yes","no"
"1816","no","no","no","no","no","no","no","no"
"1817","no","no","no","no","no","no","no","no"
"1818","no","no","yes","no","no","no","no","yes"
"1819","no","no","no","no","no","no","no","no"
"1820","no","no","yes","no","no","no","no","no"
"1821","no","no","no","no","no","no","no","no"
"1822","no","no","no","no","no","no","no","no"
"1823","no","no","no","no","yes","no","no","yes"
"1824","no","no","no","no","yes","no","no","no"
"1825","no","no","no","no","no","no","no","no"
"1826","no","no","yes","no","no","no","no","no"
"1827","no","no","no","no","no","no","no","no"
"1828","no","no","no","no","no","no","no","no"
"1829","no","no","no","no","no","no","no","yes"
"1830","no","no","yes","no","no","no","no","no"
"1831","no","no","no","no","yes","no","no","no"
"1832","no","no","no","no","no","no","no","no"
"1833","no","no","no","no","yes","no","no","yes"
"1834","no","no","yes","no","yes","no","no","yes"
"1835","no","no","no","no","yes","no","yes","yes"
"1836","no","no","no","no","no","no","no","no"
"1837","no","no","yes","no","no","no","no","no"
"1838","no","no","yes","no","no","no","no","no"
"1839","no","yes","yes","yes","yes","yes","yes","yes"
"1840","no","no","yes","no","yes","no","no","yes"
"1841","no","no","no","no","no","no","no","no"
"1842","no","no","yes","no","yes","no","no","yes"
"1843","no","no","no","no","no","no","no","no"
"1844","no","no","yes","no","yes","no","no","yes"
"1845","no","no","yes","no","yes","no","no","yes"
"1846","no","no","no","no","no","no","no","no"
"1847","no","no","yes","no","yes","no","no","yes"
"1848","no","no","no","no","no","no","no","no"
"1849","no","no","no","no","yes","no","no","yes"
"1850","no","no","no","no","no","no","no","no"
"1851","no","no","no","no","yes","no","no","yes"
"1852","no","no","yes","no","no","no","no","no"
"1853","no","no","no","no","no","no","no","no"
"1854","no","no","no","no","no","no","no","no"
"1855","no","no","no","no","no","no","no","no"
"1856","no","no","yes","no","yes","no","no","yes"
"1857","no","no","no","no","no","no","no","no"
"1858","no","no","no","no","yes","no","no","yes"
"1859","no","no","no","no","no","no","no","no"
"1860","no","no","yes","no","no","no","no","yes"
"1861","no","no","yes","no","yes","no","no","yes"
"1862","no","no","yes","no","yes","no","no","yes"
"1863","no","no","no","no","no","no","no","no"
"1864","no","no","yes","no","yes","no","no","yes"
"1865","no","no","no","no","no","no","no","no"
"1866","no","no","no","no","no","no","no","no"
"1867","no","yes","yes","no","yes","yes","yes","no"
"1868","no","no","no","no","no","no","no","no"
"1869","no","no","no","no","no","no","yes","yes"
"1870","no","no","yes","no","no","no","no","no"
"1871","no","no","no","no","no","no","no","no"
"1872","no","no","no","no","no","no","no","no"
"1873","no","no","yes","no","no","no","no","no"
"1874","no","no","yes","no","yes","no","no","yes"
"1875","no","no","no","no","no","no","no","no"
"1876","no","no","no","no","no","no","no","yes"
"1877","no","no","yes","no","no","no","no","yes"
"1878","no","no","yes","no","no","no","no","no"
"1879","no","no","yes","no","no","no","no","no"
"1880","no","no","yes","no","no","no","no","no"
"1881","no","no","yes","no","yes","no","no","no"
"1882","no","no","yes","no","yes","no","no","yes"
"1883","no","no","yes","no","yes","no","no","yes"
"1884","no","no","yes","no","yes","no","no","yes"
"1885","no","no","yes","no","yes","no","no","yes"
"1886","no","no","no","no","no","no","no","no"
"1887","no","no","yes","no","yes","no","no","yes"
"1888","no","no","no","no","no","no","no","no"
"1889","no","no","yes","no","no","no","no","no"
"1890","no","no","yes","no","yes","no","no","yes"
"1891","no","no","yes","no","yes","no","no","no"
"1892","no","no","yes","no","no","no","no","no"
"1893","no","no","yes","no","yes","no","no","yes"
"1894","no","no","yes","no","no","no","no","no"
"1895","no","no","yes","no","no","no","no","no"
"1896","no","no","yes","no","no","no","no","no"
"1897","no","no","no","no","yes","no","no","no"
"1898","no","no","yes","yes","yes","yes","yes","yes"
"1899","no","no","no","no","yes","no","no","no"
"1900","no","no","yes","no","yes","no","yes","no"
"1901","no","no","yes","no","yes","no","no","yes"
"1902","no","no","no","no","no","no","no","no"
"1903","no","no","no","no","yes","no","no","yes"
"1904","no","no","no","no","no","no","no","no"
"1905","no","no","yes","no","yes","no","no","yes"
"1906","no","no","yes","no","no","no","no","no"
"1907","no","no","no","no","no","no","no","no"
"1908","no","no","no","no","no","no","no","no"
"1909","no","no","yes","no","no","no","no","no"
"1910","no","no","no","no","no","no","no","no"
"1911","no","no","no","no","no","no","no","no"
"1912","no","no","no","no","yes","no","no","yes"
"1913","no","no","no","no","no","no","no","no"
"1914","no","no","no","no","no","no","no","no"
"1915","no","no","yes","no","yes","no","no","no"
"1916","no","no","no","no","no","no","no","no"
"1917","no","no","no","no","no","no","no","no"
"1918","no","no","yes","no","yes","no","no","yes"
"1919","no","no","no","no","no","no","no","yes"
"1920","no","no","no","no","no","no","no","yes"
"1921","no","no","yes","no","no","no","no","no"
"1922","no","no","no","no","yes","no","no","yes"
"1923","no","no","no","no","no","no","no","no"
"1924","no","no","yes","no","no","no","no","no"
"1925","no","no","no","no","no","no","no","yes"
"1926","no","no","yes","yes","yes","yes","yes","yes"
"1927","no","no","yes","no","no","no","no","no"
"1928","no","no","no","no","no","no","no","no"
"1929","no","no","no","no","no","no","no","no"
"1930","no","no","no","no","yes","no","no","yes"
"1931","no","no","no","no","yes","no","no","yes"
"1932","no","no","no","no","no","no","no","yes"
"1933","no","no","no","no","yes","no","no","yes"
"1934","no","no","yes","no","yes","no","no","no"
"1935","no","no","no","no","yes","no","no","yes"
"1936","no","no","no","no","no","no","no","no"
"1937","no","no","no","no","no","no","no","yes"
"1938","no","no","no","no","no","no","no","no"
"1939","no","no","no","no","no","no","no","no"
"1940","no","no","no","no","no","no","no","no"
"1941","no","no","yes","no","no","no","no","yes"
"1942","no","no","yes","yes","yes","yes","yes","yes"
"1943","no","no","yes","no","yes","no","no","yes"
"1944","no","no","no","no","no","no","no","no"
