"","A","S","E","O","R","T"
"1198","adult","F","high","emp","small","car"
"1199","adult","M","uni","self","big","car"
"1200","adult","M","high","emp","big","train"
"1201","adult","F","uni","emp","big","car"
"1202","old","F","high","emp","big","other"
"1203","young","M","high","emp","big","car"
"1204","young","F","uni","emp","small","car"
"1205","adult","M","high","emp","big","other"
"1206","adult","F","uni","emp","small","car"
"1207","young","F","high","emp","big","car"
"1208","adult","F","high","emp","big","car"
"1209","young","F","high","emp","small","car"
"1210","adult","M","high","emp","big","car"
"1211","young","M","uni","emp","small","car"
"1212","adult","M","uni","emp","big","car"
"1213","young","M","high","emp","big","car"
"1214","adult","F","high","emp","big","car"
"1215","young","M","high","emp","big","train"
"1216","young","M","high","emp","big","other"
"1217","adult","M","high","emp","small","car"
"1218","adult","M","high","emp","big","car"
"1219","adult","M","high","emp","small","car"
"1220","adult","M","high","emp","big","car"
"1221","young","M","high","emp","small","other"
"1222","adult","M","high","emp","small","car"
"1223","old","M","high","emp","small","car"
"1224","adult","M","high","emp","small","train"
"1225","adult","F","high","emp","big","car"
"1226","young","M","high","emp","big","car"
"1227","adult","M","high","emp","small","train"
"1228","adult","F","high","emp","big","car"
"1229","old","F","high","emp","big","car"
"1230","young","F","uni","emp","big","other"
"1231","adult","M","high","emp","big","car"
"1232","adult","M","high","emp","big","car"
"1233","adult","M","high","emp","big","car"
"1234","adult","F","high","emp","big","train"
"1235","old","M","high","emp","big","car"
"1236","old","F","uni","emp","big","car"
"1237","old","F","high","emp","small","car"
"1238","young","M","uni","emp","big","car"
"1239","adult","M","high","emp","big","car"
"1240","young","F","high","emp","big","train"
"1241","young","M","high","emp","big","other"
"1242","young","F","high","emp","small","car"
"1243","adult","F","uni","emp","big","car"
"1244","old","F","high","emp","big","train"
"1245","adult","F","high","emp","big","car"
"1246","adult","F","high","emp","small","train"
"1247","old","M","high","emp","big","car"
"1248","young","M","high","emp","big","train"
"1249","young","M","uni","emp","small","train"
"1250","adult","M","high","emp","big","car"
"1251","young","F","high","emp","big","car"
"1252","adult","F","high","emp","big","car"
"1253","adult","F","high","emp","big","train"
"1254","young","F","high","emp","big","car"
"1255","adult","M","high","emp","big","train"
"1256","old","F","high","emp","big","car"
"1257","adult","M","high","emp","big","car"
"1258","adult","M","high","self","big","car"
"1259","adult","F","high","emp","big","train"
"1260","adult","M","uni","emp","big","car"
"1261","young","M","high","emp","small","train"
"1262","adult","M","high","emp","big","train"
"1263","young","F","high","emp","big","train"
"1264","young","F","high","emp","big","car"
"1265","adult","F","uni","emp","big","other"
"1266","old","M","high","emp","big","other"
"1267","young","M","high","emp","big","car"
"1268","adult","M","high","emp","big","train"
"1269","adult","M","high","emp","small","car"
"1270","old","F","high","emp","big","car"
"1271","adult","M","uni","emp","big","train"
"1272","adult","M","uni","emp","small","train"
"1273","young","M","uni","emp","big","car"
"1274","adult","M","high","emp","big","car"
"1275","adult","M","high","emp","big","train"
"1276","adult","F","uni","emp","big","other"
"1277","young","M","high","self","big","train"
"1278","adult","M","high","emp","small","car"
"1279","adult","F","high","emp","big","other"
"1280","young","M","high","emp","big","other"
"1281","adult","F","high","emp","big","other"
"1282","young","F","high","emp","small","train"
"1283","young","F","high","emp","big","car"
"1284","adult","M","high","emp","small","train"
"1285","adult","M","high","emp","small","train"
"1286","old","F","high","self","big","car"
"1287","adult","F","high","emp","big","car"
"1288","adult","M","high","emp","big","car"
"1289","old","M","high","emp","big","other"
"1290","old","F","high","self","big","train"
"1291","adult","M","uni","emp","big","train"
"1292","young","M","high","emp","big","car"
"1293","young","M","high","emp","big","train"
"1294","young","M","high","emp","big","car"
"1295","old","F","high","emp","small","car"
"1296","old","M","high","emp","big","train"
"1297","young","F","high","emp","small","car"
"1298","adult","M","uni","self","big","car"
"1299","young","M","uni","emp","big","car"
"1300","old","M","high","emp","big","car"
"1301","old","M","high","self","big","car"
"1302","young","M","high","emp","big","car"
"1303","young","F","uni","self","small","car"
"1304","adult","F","high","emp","big","car"
"1305","old","F","high","emp","small","car"
"1306","adult","M","uni","emp","big","train"
"1307","adult","F","uni","emp","big","train"
"1308","old","F","high","emp","small","car"
"1309","young","F","high","emp","small","car"
"1310","old","M","high","emp","big","car"
"1311","old","M","high","emp","big","train"
"1312","adult","F","high","self","big","car"
"1313","adult","M","high","emp","big","car"
"1314","old","M","high","emp","small","car"
"1315","adult","M","uni","emp","big","car"
"1316","adult","M","uni","emp","small","train"
"1317","adult","M","high","emp","big","car"
"1318","adult","F","uni","self","big","car"
"1319","adult","M","high","emp","big","car"
"1320","young","M","uni","emp","big","car"
"1321","adult","F","high","emp","big","other"
"1322","adult","M","high","emp","big","car"
"1323","young","M","uni","emp","big","car"
"1324","adult","M","high","emp","small","train"
"1325","adult","M","uni","emp","big","train"
"1326","young","F","high","emp","big","car"
"1327","adult","F","uni","emp","big","car"
"1328","adult","M","high","emp","big","car"
"1329","adult","M","uni","emp","big","other"
"1330","young","M","high","emp","big","car"
"1331","young","M","high","self","small","car"
"1332","young","F","uni","emp","big","other"
"1333","old","M","high","emp","big","car"
"1334","adult","F","uni","emp","big","train"
"1335","young","F","high","emp","big","car"
"1336","old","M","high","emp","big","car"
"1337","young","M","high","emp","big","train"
"1338","old","M","high","emp","small","train"
"1339","adult","M","high","emp","big","car"
"1340","adult","M","high","emp","big","car"
"1341","adult","M","high","emp","big","car"
"1342","young","M","uni","emp","big","other"
"1343","young","M","high","emp","big","car"
"1344","old","F","high","emp","big","car"
"1345","adult","F","uni","emp","big","car"
"1346","young","M","uni","emp","big","train"
"1347","adult","M","uni","emp","big","car"
"1348","young","M","high","emp","small","car"
"1349","adult","F","high","emp","small","train"
"1350","adult","M","high","emp","small","train"
"1351","adult","M","high","emp","big","car"
"1352","young","M","high","emp","big","car"
"1353","old","M","high","emp","small","car"
"1354","old","M","high","emp","big","car"
"1355","adult","M","high","emp","big","car"
"1356","young","M","high","emp","big","car"
"1357","old","F","high","emp","small","other"
"1358","young","M","uni","emp","small","train"
"1359","old","M","high","emp","small","other"
"1360","old","F","high","emp","big","car"
"1361","adult","F","high","emp","big","car"
"1362","old","M","high","emp","big","car"
"1363","old","F","high","emp","big","car"
"1364","adult","M","high","emp","big","car"
"1365","young","F","high","emp","small","train"
"1366","old","M","high","emp","small","car"
"1367","adult","M","high","emp","small","car"
"1368","old","F","high","emp","big","car"
"1369","adult","M","uni","emp","small","car"
"1370","adult","F","high","emp","small","train"
"1371","adult","M","high","emp","big","car"
"1372","young","F","high","emp","big","car"
"1373","young","F","high","emp","small","car"
"1374","young","M","high","emp","big","train"
"1375","adult","M","high","emp","big","car"
"1376","old","F","uni","emp","big","car"
"1377","adult","M","high","emp","big","other"
"1378","adult","M","uni","emp","big","train"
"1379","young","F","high","emp","big","car"
"1380","adult","M","high","emp","big","car"
"1381","young","M","uni","self","big","car"
"1382","adult","M","uni","emp","big","car"
"1383","adult","M","high","emp","small","train"
"1384","adult","M","high","emp","big","other"
"1385","adult","M","uni","self","big","train"
"1386","adult","M","uni","emp","big","car"
"1387","adult","F","uni","self","big","other"
"1388","young","M","uni","emp","big","other"
"1389","young","M","high","emp","big","train"
"1390","adult","M","high","emp","big","car"
"1391","young","F","high","emp","big","car"
"1392","adult","M","high","emp","big","car"
"1393","adult","F","uni","emp","big","car"
"1394","young","F","high","emp","big","train"
"1395","adult","M","high","emp","big","train"
"1396","old","F","high","emp","small","train"
"1397","adult","F","uni","emp","big","car"
"1398","adult","F","uni","emp","small","other"
"1399","adult","M","high","emp","big","other"
"1400","old","M","high","emp","big","other"
"1401","adult","M","high","emp","small","train"
"1402","adult","M","high","emp","small","train"
"1403","old","M","high","emp","big","train"
"1404","adult","M","uni","emp","big","car"
"1405","adult","M","high","emp","big","car"
"1406","adult","M","high","emp","big","car"
"1407","adult","M","high","emp","big","car"
"1408","adult","F","uni","emp","big","car"
"1409","adult","F","high","emp","small","other"
"1410","adult","M","high","emp","small","train"
"1411","adult","M","high","emp","small","car"
"1412","adult","M","uni","emp","small","car"
"1413","adult","M","high","self","big","car"
"1414","adult","M","high","emp","big","train"
"1415","adult","M","high","emp","big","car"
"1416","adult","M","high","emp","big","car"
"1417","young","F","uni","emp","big","car"
"1418","young","F","high","emp","big","train"
"1419","old","M","high","emp","small","car"
"1420","old","M","high","emp","small","car"
"1421","adult","F","uni","emp","big","car"
"1422","adult","F","high","emp","big","train"
"1423","young","M","high","emp","big","car"
"1424","adult","F","uni","emp","big","train"
"1425","adult","M","high","emp","big","car"
"1426","adult","F","uni","emp","big","car"
"1427","old","F","high","emp","big","car"
"1428","old","M","high","emp","big","other"
"1429","young","M","uni","emp","big","car"
"1430","old","F","uni","emp","big","car"
"1431","young","M","high","emp","small","car"
"1432","old","F","high","emp","small","car"
"1433","young","M","high","emp","small","train"
"1434","old","M","high","emp","small","car"
"1435","adult","M","high","emp","big","car"
"1436","adult","F","high","emp","big","car"
"1437","old","M","high","emp","small","train"
"1438","adult","F","high","emp","big","other"
"1439","adult","F","uni","emp","big","other"
"1440","adult","M","high","emp","small","car"
"1441","adult","M","high","emp","big","car"
"1442","young","M","high","self","big","train"
"1443","adult","M","high","emp","big","train"
"1444","adult","M","high","self","small","car"
"1445","adult","M","high","emp","big","car"
"1446","young","M","uni","emp","big","other"
"1447","adult","M","high","emp","big","train"
"1448","young","F","high","emp","big","car"
"1449","old","F","high","emp","big","car"
"1450","adult","M","high","emp","big","car"
"1451","old","M","uni","emp","big","car"
"1452","adult","M","high","emp","big","car"
"1453","young","M","high","emp","small","car"
"1454","young","F","high","emp","big","car"
"1455","young","F","high","emp","big","car"
"1456","adult","M","uni","emp","big","car"
"1457","adult","M","high","emp","big","car"
"1458","young","M","high","emp","big","car"
"1459","adult","M","high","emp","big","other"
"1460","young","F","uni","self","big","car"
"1461","young","M","high","emp","small","train"
"1462","young","F","uni","emp","big","car"
"1463","adult","M","uni","emp","big","car"
"1464","adult","M","high","emp","big","car"
"1465","old","F","high","emp","small","car"
"1466","adult","M","uni","emp","small","other"
"1467","adult","M","uni","emp","big","car"
"1468","young","M","high","emp","big","train"
"1469","young","M","high","emp","big","car"
"1470","young","F","high","emp","big","car"
"1471","adult","M","high","emp","big","car"
"1472","adult","M","uni","emp","small","train"
"1473","adult","M","high","emp","big","car"
"1474","adult","F","high","emp","small","other"
"1475","adult","M","high","emp","small","train"
"1476","old","M","high","self","big","train"
"1477","old","M","high","emp","big","car"
"1478","young","F","high","emp","big","train"
"1479","adult","M","high","emp","big","car"
"1480","adult","M","high","emp","big","car"
"1481","young","F","high","emp","big","train"
"1482","adult","F","uni","emp","big","train"
"1483","young","F","uni","emp","big","train"
"1484","adult","M","high","emp","big","other"
"1485","adult","F","high","emp","big","car"
"1486","adult","F","high","emp","big","other"
"1487","adult","F","high","emp","big","car"
"1488","young","M","high","emp","big","other"
"1489","adult","M","uni","emp","small","train"
"1490","adult","M","high","emp","big","car"
"1491","adult","F","high","emp","small","train"
"1492","young","M","uni","self","big","car"
"1493","adult","M","uni","emp","big","car"
"1494","adult","M","high","emp","big","train"
"1495","young","F","uni","emp","small","train"
"1496","young","M","high","emp","big","car"
"1497","adult","M","high","emp","small","train"
"1498","young","F","high","emp","big","other"
"1499","young","F","uni","emp","big","car"
"1500","young","M","high","emp","big","car"
"1501","adult","M","high","emp","big","car"
"1502","adult","F","uni","emp","big","train"
"1503","old","F","high","emp","big","train"
"1504","old","M","high","emp","small","train"
"1505","adult","M","high","emp","big","other"
"1506","adult","M","uni","emp","big","car"
"1507","adult","F","high","emp","big","train"
"1508","adult","M","uni","emp","big","train"
"1509","adult","M","high","emp","big","train"
"1510","young","M","high","emp","small","train"
"1511","adult","M","uni","emp","big","other"
"1512","adult","M","high","emp","small","other"
"1513","adult","M","high","emp","big","car"
"1514","old","M","high","emp","big","car"
"1515","old","M","high","emp","small","train"
"1516","adult","M","high","self","big","car"
"1517","young","F","uni","emp","big","other"
"1518","adult","M","high","emp","big","car"
"1519","adult","M","high","emp","small","car"
"1520","old","F","high","emp","small","train"
"1521","adult","F","high","emp","big","car"
"1522","adult","M","high","self","big","train"
"1523","young","F","uni","emp","big","car"
"1524","old","F","high","self","small","train"
"1525","adult","F","high","emp","big","car"
"1526","old","F","high","emp","big","train"
"1527","young","M","high","emp","big","car"
"1528","young","F","high","emp","big","car"
"1529","adult","M","high","emp","big","car"
"1530","adult","M","high","emp","small","train"
"1531","young","M","uni","emp","small","car"
"1532","old","F","high","emp","big","train"
"1533","old","M","high","emp","big","car"
"1534","old","M","uni","emp","small","car"
"1535","adult","M","high","emp","big","train"
"1536","old","M","uni","emp","big","car"
"1537","old","M","high","emp","big","car"
"1538","adult","F","uni","emp","big","car"
"1539","adult","M","high","emp","big","car"
"1540","young","M","high","emp","big","car"
"1541","old","F","high","emp","big","other"
"1542","young","M","high","emp","big","car"
"1543","adult","M","high","emp","big","other"
"1544","old","M","high","emp","big","train"
"1545","adult","M","high","emp","big","car"
"1546","adult","M","high","emp","small","other"
"1547","adult","M","high","emp","big","car"
"1548","adult","M","high","emp","big","car"
"1549","young","M","high","emp","big","car"
"1550","old","M","high","emp","small","other"
"1551","old","F","high","emp","big","train"
"1552","adult","M","high","emp","big","train"
"1553","young","M","uni","emp","big","car"
"1554","adult","F","high","emp","small","car"
"1555","young","M","high","emp","big","car"
"1556","young","M","high","emp","small","train"
"1557","old","M","high","emp","big","other"
"1558","young","M","high","emp","big","other"
"1559","young","M","uni","self","big","other"
"1560","young","M","high","emp","big","car"
"1561","adult","M","high","emp","big","car"
"1562","young","M","high","emp","big","car"
"1563","young","M","high","emp","big","car"
"1564","young","F","high","emp","small","train"
"1565","adult","M","high","emp","big","car"
"1566","old","F","high","emp","small","car"
"1567","young","M","high","emp","big","other"
"1568","old","F","high","emp","big","car"
"1569","adult","F","uni","emp","big","train"
"1570","adult","F","uni","emp","big","train"
"1571","young","M","uni","emp","big","train"
"1572","young","M","high","emp","big","car"
"1573","old","F","high","emp","big","other"
"1574","young","M","high","emp","big","other"
"1575","adult","M","uni","emp","big","train"
"1576","adult","F","high","emp","big","train"
"1577","young","F","high","emp","big","train"
"1578","old","M","high","emp","big","car"
"1579","young","F","uni","emp","big","train"
"1580","young","M","high","emp","big","car"
"1581","adult","F","high","emp","big","car"
"1582","young","F","uni","emp","small","train"
"1583","young","F","high","emp","big","train"
"1584","adult","M","high","emp","small","train"
"1585","adult","M","high","emp","big","car"
"1586","old","M","high","emp","small","car"
"1587","adult","M","high","emp","small","car"
"1588","young","M","high","emp","big","train"
"1589","old","F","high","emp","big","car"
"1590","young","F","high","emp","big","car"
"1591","adult","M","high","emp","big","train"
"1592","adult","F","uni","emp","big","car"
"1593","young","M","uni","emp","big","car"
"1594","old","M","high","emp","big","car"
"1595","young","M","high","emp","big","car"
"1596","young","M","high","emp","big","other"
"1597","adult","F","high","emp","big","train"
"1598","adult","F","high","self","big","car"
"1599","adult","M","uni","emp","big","train"
"1600","young","M","uni","emp","big","car"
"1601","young","F","uni","emp","big","car"
"1602","old","M","high","emp","small","train"
"1603","adult","F","high","emp","big","other"
"1604","adult","M","high","emp","small","train"
"1605","adult","M","uni","emp","big","car"
"1606","young","M","high","emp","big","car"
"1607","adult","M","high","emp","big","car"
"1608","old","M","high","emp","big","car"
"1609","adult","M","high","emp","big","train"
"1610","adult","M","high","emp","big","train"
"1611","old","F","high","emp","big","car"
"1612","adult","F","high","emp","big","train"
"1613","old","M","high","emp","small","car"
"1614","old","M","high","emp","big","car"
"1615","adult","F","high","emp","small","train"
"1616","young","M","high","emp","small","car"
"1617","adult","M","uni","emp","big","other"
"1618","old","F","uni","emp","small","train"
"1619","adult","M","uni","emp","big","car"
"1620","adult","F","uni","emp","big","train"
"1621","young","M","high","emp","big","car"
"1622","young","M","high","emp","big","car"
"1623","adult","F","high","emp","small","other"
"1624","young","M","high","self","small","other"
"1625","adult","M","high","emp","big","train"
"1626","adult","M","uni","emp","small","train"
"1627","young","M","high","emp","big","car"
"1628","young","F","high","emp","big","train"
"1629","adult","M","high","emp","big","car"
"1630","old","F","high","emp","big","other"
"1631","adult","M","uni","emp","big","train"
"1632","adult","F","uni","emp","big","car"
"1633","adult","F","high","emp","big","car"
"1634","old","F","high","emp","small","train"
"1635","adult","M","high","emp","small","car"
"1636","adult","M","high","emp","big","other"
"1637","adult","M","uni","emp","small","car"
"1638","adult","M","high","emp","big","car"
"1639","adult","M","high","emp","big","car"
"1640","old","F","high","emp","big","car"
"1641","adult","M","high","emp","big","train"
"1642","young","M","high","emp","small","other"
"1643","old","M","high","emp","big","car"
"1644","adult","M","high","emp","small","train"
"1645","old","M","high","emp","small","car"
"1646","adult","M","high","emp","big","other"
"1647","adult","M","uni","emp","big","car"
"1648","adult","M","high","emp","big","car"
"1649","adult","M","high","emp","big","other"
"1650","adult","M","high","emp","big","car"
"1651","old","F","high","self","big","car"
"1652","adult","M","high","emp","big","train"
"1653","adult","F","high","emp","big","train"
"1654","adult","M","uni","emp","big","train"
"1655","young","F","uni","emp","small","train"
"1656","young","F","high","emp","big","train"
"1657","adult","M","high","emp","big","car"
"1658","young","M","uni","emp","big","train"
"1659","young","M","high","emp","big","car"
"1660","adult","M","high","emp","big","car"
"1661","adult","F","high","emp","small","train"
"1662","adult","F","high","emp","big","car"
"1663","young","M","uni","emp","big","train"
"1664","adult","M","high","emp","big","car"
"1665","young","M","high","emp","big","car"
"1666","young","F","uni","emp","big","train"
"1667","adult","M","high","emp","big","other"
"1668","adult","F","high","emp","big","car"
"1669","old","M","uni","self","big","car"
"1670","adult","M","high","emp","big","other"
"1671","young","M","high","emp","big","train"
"1672","adult","M","high","emp","big","car"
"1673","adult","F","high","emp","big","car"
"1674","adult","M","high","emp","small","other"
"1675","young","F","high","emp","big","car"
"1676","adult","F","high","emp","big","other"
"1677","old","M","high","emp","big","car"
"1678","adult","F","high","emp","big","car"
"1679","old","F","high","emp","big","car"
"1680","young","M","uni","emp","big","train"
"1681","adult","F","high","emp","small","train"
"1682","adult","M","high","emp","big","car"
"1683","young","M","high","emp","small","car"
"1684","adult","M","high","emp","big","train"
"1685","adult","F","uni","emp","big","car"
"1686","old","M","high","emp","small","train"
"1687","young","M","uni","emp","small","car"
"1688","adult","M","high","emp","small","other"
"1689","young","M","high","emp","small","car"
"1690","adult","F","uni","emp","big","car"
"1691","adult","M","high","emp","big","train"
"1692","young","M","high","emp","big","train"
"1693","adult","M","high","emp","small","train"
"1694","adult","M","high","emp","big","car"
"1695","old","M","high","emp","big","train"
"1696","young","F","high","self","big","car"
"1697","young","F","high","emp","small","car"
"1698","old","M","high","emp","big","car"
"1699","old","M","high","emp","big","car"
"1700","adult","M","high","emp","big","car"
"1701","young","M","high","emp","big","car"
"1702","young","M","high","emp","big","car"
"1703","young","M","high","emp","big","train"
"1704","old","M","high","emp","small","car"
"1705","old","M","high","emp","big","train"
"1706","old","M","high","emp","big","train"
"1707","adult","F","high","emp","big","car"
"1708","young","M","high","emp","small","car"
"1709","old","M","high","emp","big","train"
"1710","old","M","high","emp","big","other"
"1711","old","M","uni","emp","small","other"
"1712","young","F","high","emp","big","car"
"1713","young","F","high","emp","big","car"
"1714","young","M","high","emp","big","other"
"1715","adult","M","uni","emp","small","train"
"1716","old","M","uni","emp","big","train"
"1717","adult","M","uni","emp","big","car"
"1718","young","F","uni","emp","big","car"
"1719","young","M","uni","emp","big","car"
"1720","young","M","high","emp","small","other"
"1721","adult","M","high","emp","big","train"
"1722","adult","F","high","emp","big","car"
"1723","young","F","high","emp","big","car"
"1724","young","M","high","emp","big","other"
"1725","young","M","uni","emp","small","car"
"1726","young","F","high","emp","big","train"
"1727","adult","M","high","self","big","car"
"1728","adult","F","high","emp","big","car"
"1729","old","F","high","emp","big","other"
"1730","young","F","high","emp","big","car"
"1731","adult","M","high","emp","small","car"
"1732","adult","F","high","emp","big","train"
"1733","adult","M","uni","emp","big","train"
"1734","adult","F","uni","emp","big","car"
"1735","adult","M","high","emp","big","other"
"1736","young","M","high","emp","big","other"
"1737","young","M","uni","emp","big","car"
"1738","adult","F","high","emp","big","car"
"1739","adult","F","high","emp","big","car"
"1740","young","M","high","emp","big","car"
"1741","young","M","uni","emp","big","other"
"1742","adult","M","uni","emp","big","train"
"1743","adult","M","high","emp","big","train"
"1744","adult","M","uni","emp","small","train"
"1745","adult","M","high","emp","big","car"
"1746","old","F","high","emp","small","other"
"1747","young","M","uni","emp","big","car"
"1748","adult","M","uni","emp","big","car"
"1749","adult","F","high","emp","big","other"
"1750","adult","M","high","emp","small","train"
"1751","old","F","high","emp","big","car"
"1752","young","M","high","emp","big","car"
"1753","young","F","high","emp","big","car"
"1754","old","M","high","emp","big","train"
"1755","adult","M","uni","emp","big","car"
"1756","adult","M","uni","emp","big","car"
"1757","adult","F","high","emp","big","car"
"1758","young","M","uni","emp","big","train"
"1759","young","M","uni","emp","big","car"
"1760","old","F","high","emp","big","car"
"1761","adult","M","uni","emp","big","car"
"1762","adult","F","high","emp","small","car"
"1763","adult","M","high","emp","small","train"
"1764","adult","M","uni","emp","small","car"
"1765","young","F","high","emp","small","car"
"1766","adult","M","high","emp","big","other"
"1767","adult","F","high","emp","big","car"
"1768","old","M","high","emp","big","other"
"1769","young","F","high","emp","big","train"
"1770","adult","M","uni","emp","small","car"
"1771","young","M","high","emp","big","train"
"1772","old","F","high","emp","big","car"
"1773","young","F","high","emp","small","car"
"1774","young","M","high","emp","big","car"
"1775","adult","M","high","emp","big","car"
"1776","adult","F","uni","emp","big","car"
"1777","adult","M","high","emp","big","other"
"1778","old","F","high","emp","big","car"
"1779","old","M","high","emp","small","car"
"1780","adult","M","high","emp","big","car"
"1781","old","F","uni","emp","small","train"
"1782","adult","M","high","emp","small","car"
"1783","adult","M","high","emp","big","train"
"1784","young","M","high","emp","big","other"
"1785","young","M","high","emp","big","train"
"1786","adult","M","high","emp","small","car"
"1787","young","M","uni","emp","small","train"
"1788","old","F","high","emp","big","other"
"1789","adult","F","high","emp","small","other"
"1790","adult","M","high","emp","big","train"
"1791","adult","F","high","emp","big","other"
"1792","adult","M","high","emp","big","car"
"1793","old","F","uni","emp","big","train"
"1794","young","M","high","emp","small","train"
"1795","young","M","uni","emp","big","car"
"1796","adult","F","high","emp","big","train"
"1797","young","M","high","emp","big","train"
"1798","young","F","high","emp","big","train"
"1799","young","F","uni","emp","big","car"
"1800","adult","M","high","emp","big","train"
"1801","adult","M","uni","emp","big","train"
"1802","adult","M","high","emp","big","train"
"1803","adult","M","high","emp","small","train"
"1804","old","F","high","emp","big","car"
"1805","adult","M","uni","emp","big","car"
"1806","adult","M","high","emp","big","other"
"1807","young","M","high","emp","big","car"
"1808","young","M","high","emp","big","car"
"1809","adult","M","high","emp","big","car"
"1810","old","F","high","emp","big","car"
"1811","adult","F","high","emp","big","car"
"1812","adult","M","high","emp","big","car"
"1813","adult","M","uni","emp","big","train"
"1814","adult","F","high","emp","big","other"
"1815","old","M","high","emp","big","car"
"1816","adult","M","high","emp","big","other"
"1817","adult","M","high","emp","small","train"
"1818","adult","F","high","emp","small","car"
"1819","old","M","high","emp","big","car"
"1820","adult","M","uni","emp","big","other"
"1821","young","F","high","emp","small","car"
"1822","adult","M","high","emp","big","car"
"1823","adult","F","high","emp","big","other"
"1824","young","F","high","emp","big","train"
"1825","young","M","high","emp","big","car"
"1826","young","M","high","emp","small","car"
"1827","old","F","high","self","big","car"
"1828","young","M","high","emp","big","car"
"1829","adult","F","high","emp","big","car"
"1830","adult","M","uni","emp","big","train"
"1831","young","F","high","emp","big","car"
"1832","old","F","high","emp","big","train"
"1833","young","F","high","emp","big","other"
"1834","young","F","high","emp","small","car"
"1835","old","F","high","emp","big","train"
"1836","adult","M","high","emp","big","car"
"1837","young","M","high","emp","big","other"
"1838","young","M","uni","emp","big","train"
"1839","adult","F","high","emp","big","car"
"1840","young","F","high","emp","big","car"
"1841","old","F","high","emp","small","car"
"1842","adult","M","high","emp","big","train"
"1843","adult","M","uni","emp","big","train"
"1844","adult","M","high","emp","big","car"
"1845","old","F","uni","emp","big","car"
"1846","adult","M","high","emp","big","car"
"1847","old","M","high","emp","big","car"
"1848","adult","M","high","emp","big","car"
"1849","young","M","uni","emp","big","train"
"1850","adult","M","high","emp","big","other"
"1851","adult","M","uni","emp","big","car"
"1852","adult","F","high","emp","big","train"
"1853","adult","M","high","emp","big","train"
"1854","young","F","uni","emp","small","car"
"1855","adult","M","uni","emp","big","train"
"1856","young","M","high","emp","big","car"
"1857","young","M","high","emp","big","car"
"1858","adult","M","high","emp","small","train"
"1859","adult","F","high","emp","big","other"
"1860","adult","F","uni","emp","big","car"
"1861","young","M","high","emp","big","car"
"1862","adult","M","high","emp","big","car"
"1863","young","M","uni","self","big","car"
"1864","adult","M","high","emp","big","car"
"1865","old","M","high","emp","big","other"
"1866","young","F","high","emp","big","train"
"1867","adult","F","high","emp","big","car"
"1868","young","F","high","emp","big","car"
"1869","adult","M","high","emp","small","train"
"1870","adult","F","high","emp","big","train"
"1871","adult","M","high","emp","big","train"
"1872","young","F","high","emp","small","car"
"1873","young","M","high","emp","small","train"
"1874","old","F","high","emp","big","car"
"1875","adult","M","high","emp","big","car"
"1876","adult","F","uni","emp","big","car"
"1877","adult","F","uni","emp","big","car"
"1878","old","M","high","emp","big","car"
"1879","adult","M","high","self","big","car"
"1880","adult","F","high","emp","small","train"
"1881","adult","F","uni","self","big","car"
"1882","young","M","uni","emp","small","car"
"1883","young","M","high","emp","big","other"
"1884","old","F","high","emp","small","train"
"1885","adult","F","high","emp","big","train"
"1886","adult","F","high","emp","small","car"
"1887","adult","M","high","emp","big","car"
"1888","young","M","high","emp","big","car"
"1889","adult","M","uni","emp","big","car"
"1890","adult","M","high","emp","small","car"
"1891","adult","F","uni","emp","big","car"
"1892","adult","F","high","emp","big","car"
"1893","adult","M","high","emp","big","car"
"1894","young","M","high","emp","big","car"
"1895","adult","F","high","emp","big","train"
"1896","adult","M","high","self","big","car"
"1897","adult","M","high","emp","big","car"
"1898","old","F","high","emp","big","other"
"1899","adult","F","high","emp","big","car"
"1900","young","F","high","self","big","car"
"1901","young","M","uni","emp","small","train"
"1902","adult","M","high","emp","small","train"
"1903","adult","F","high","emp","small","car"
"1904","old","M","high","emp","big","car"
"1905","young","F","uni","emp","big","train"
"1906","young","M","high","emp","big","car"
"1907","adult","M","high","emp","big","train"
"1908","adult","M","high","emp","big","other"
"1909","young","M","high","emp","big","train"
"1910","young","F","uni","emp","small","train"
"1911","adult","F","high","emp","big","other"
"1912","young","M","high","emp","big","car"
"1913","adult","M","high","emp","big","car"
"1914","adult","F","uni","emp","small","car"
"1915","old","M","high","emp","big","car"
"1916","old","F","high","self","big","train"
"1917","adult","M","uni","emp","small","car"
"1918","young","M","high","emp","big","car"
"1919","adult","M","uni","emp","big","train"
"1920","young","M","high","emp","big","car"
"1921","old","M","high","emp","small","car"
"1922","adult","F","high","emp","big","other"
"1923","young","F","uni","emp","big","other"
"1924","old","F","high","emp","big","train"
"1925","old","M","uni","emp","small","car"
"1926","adult","M","high","emp","big","train"
"1927","young","M","high","emp","big","train"
"1928","adult","M","high","emp","big","train"
"1929","young","M","uni","self","big","car"
"1930","young","M","high","emp","big","car"
"1931","young","M","high","emp","small","car"
"1932","young","M","high","emp","big","other"
"1933","adult","M","high","emp","big","car"
"1934","young","F","high","emp","big","car"
"1935","adult","F","high","emp","small","car"
"1936","adult","M","high","self","small","other"
"1937","young","M","high","emp","big","car"
"1938","adult","F","uni","emp","big","car"
"1939","young","F","uni","emp","big","car"
"1940","adult","M","uni","emp","big","train"
"1941","young","F","uni","emp","big","other"
"1942","adult","M","high","emp","big","car"
"1943","old","F","high","emp","big","car"
"1944","adult","M","high","emp","big","other"
"1945","young","F","high","emp","big","other"
