"","dm_1","foto_1","straaling_1","temp_1","lai_1","meldug_1","lai_0","dm_2","foto_2","straaling_2","temp_2","lai_2","meldug_2","dm_3","foto_3","straaling_3","temp_3","lai_3","meldug_3","dm_4","foto_4","straaling_4","temp_4","lai_4","meldug_4","mikro_1","middel_1","mikro_2","middel_2","mikro_3","middel_3","nedboer_1","nedboer_2","nedboer_3","udbytte"
"1184","0_20_kg_m2","0_40_kg_m2","150___199_MJ_m2","13_0___14_9_C","5_5___6_5","0_5___1_%","5_5___6_5","0_58_kg_m2","0_70_kg_m2","____250_MJ_m2","___13_0_C","4_5___5_5","2___6__","1_14_kg_m2","1_05_kg_m2","350___399_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","1_32_kg_m2","0_50_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","V_dt_og_varmt","0_l_ha","T_rt_og_koldt","0_50_l_ha","V_dt_og_koldt","0_l_ha","____4","2___3","____4","111___113_hkg_ha"
"1185","0_20_kg_m2","0_40_kg_m2","150___199_MJ_m2","____17_0_C","5_5___6_5","1___2_%","5_5___6_5","0_34_kg_m2","0_40_kg_m2","150___199_MJ_m2","15_0___16_9_C","5_5___6_5","10___25__","0_94_kg_m2","1_00_kg_m2","350___399_MJ_m2","15_0___16_9_C","3_5___4_5","0_00___0_01__","1_10_kg_m2","0_40_kg_m2","___300_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_l_ha","V_dt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_75_l_ha","0___1","0___1","2___3","93___95_hkg_ha"
"1186","0_34_kg_m2","0_60_kg_m2","200___249_MJ_m2","____17_0_C","4_5___5_5","2___6_%","3_5___4_5","0_60_kg_m2","0_55_kg_m2","150___199_MJ_m2","___13_0_C","4_5___5_5","0_00___0_01__","0_90_kg_m2","0_65_kg_m2","300___349_MJ_m2","15_0___16_9_C","2_5___3_5","0_00___0_01__","0_96_kg_m2","0_30_kg_m2","___300_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_75_l_ha","V_dt_og_koldt","0_25_l_ha","V_dt_og_varmt","0_50_l_ha","____4","____4","2___3","81___83_hkg_ha"
"1187","0_30_kg_m2","0_50_kg_m2","150___199_MJ_m2","13_0___14_9_C","4_5___5_5","0_00___0_01_%","4_5___5_5","0_54_kg_m2","0_50_kg_m2","150___199_MJ_m2","___13_0_C","4_5___5_5","0_00___0_01__","1_14_kg_m2","1_10_kg_m2","350___399_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","1_16_kg_m2","0_30_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_25_l_ha","V_dt_og_koldt","0_25_l_ha","T_rt_og_koldt","0_75_l_ha","2___3","2___3","0___1","97___99_hkg_ha"
"1188","0_14_kg_m2","0_30_kg_m2","200___249_MJ_m2","13_0___14_9_C","0_5___1_5","50___100_%","3_5___4_5","0_18_kg_m2","0_20_kg_m2","150___199_MJ_m2","13_0___14_9_C","0_5___1_5","6___10__","0_46_kg_m2","0_50_kg_m2","300___349_MJ_m2","____17_0_C","0_5___1_5","0_01___0_5__","0_32_kg_m2","0_00_kg_m2","300___349_MJ_m2","____17_0_C","0_0___0_5","2___6__","T_rt_og_koldt","0_l_ha","T_rt_og_koldt","0_50_l_ha","V_dt_og_varmt","0_l_ha","0___1","0___1","____4","25___27_hkg_ha"
"1189","0_36_kg_m2","0_60_kg_m2","150___199_MJ_m2","13_0___14_9_C","5_5___6_5","0_01___0_5_%","5_5___6_5","0_54_kg_m2","0_40_kg_m2","150___199_MJ_m2","____17_0_C","5_5___6_5","0_00___0_01__","1_00_kg_m2","0_85_kg_m2","300___349_MJ_m2","13_0___14_9_C","3_5___4_5","0_00___0_01__","1_22_kg_m2","0_55_kg_m2","___300_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_50_l_ha","V_dt_og_varmt","0_25_l_ha","T_rt_og_koldt","0_l_ha","0___1","2___3","0___1","103___105_hkg_ha"
"1190","0_26_kg_m2","0_50_kg_m2","150___199_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01_%","2_5___3_5","0_48_kg_m2","0_45_kg_m2","200___249_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","0_96_kg_m2","0_90_kg_m2","350___399_MJ_m2","15_0___16_9_C","1_5___2_5","0_00___0_01__","1_02_kg_m2","0_30_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_25_l_ha","V_dt_og_varmt","0_50_l_ha","V_dt_og_varmt","0_75_l_ha","0___1","____4","2___3","85___87_hkg_ha"
"1191","0_20_kg_m2","0_40_kg_m2","150___199_MJ_m2","15_0___16_9_C","3_5___4_5","0_00___0_01_%","3_5___4_5","0_46_kg_m2","0_50_kg_m2","200___249_MJ_m2","13_0___14_9_C","3_5___4_5","0_00___0_01__","0_86_kg_m2","0_70_kg_m2","300___349_MJ_m2","15_0___16_9_C","2_5___3_5","0_00___0_01__","0_96_kg_m2","0_45_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_50_l_ha","V_dt_og_koldt","0_25_l_ha","V_dt_og_koldt","0_l_ha","____4","____4","2___3","81___83_hkg_ha"
"1192","0_16_kg_m2","0_35_kg_m2","150___199_MJ_m2","13_0___14_9_C","1_5___2_5","25___50_%","3_5___4_5","0_32_kg_m2","0_35_kg_m2","150___199_MJ_m2","13_0___14_9_C","1_5___2_5","2___6__","0_52_kg_m2","0_45_kg_m2","____400_MJ_m2","15_0___16_9_C","0_5___1_5","1___2__","0_70_kg_m2","0_40_kg_m2","___300_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_25_l_ha","T_rt_og_varmt","0_l_ha","V_dt_og_koldt","0_75_l_ha","0___1","0___1","____4","59___61_hkg_ha"
"1193","0_12_kg_m2","0_30_kg_m2","___150_MJ_m2","13_0___14_9_C","1_5___2_5","25___50_%","2_5___3_5","0_42_kg_m2","0_50_kg_m2","200___249_MJ_m2","13_0___14_9_C","1_5___2_5","0_5___1__","0_62_kg_m2","0_45_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_5___1_5","0_5___1__","0_62_kg_m2","0_20_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_0___0_5","2___6__","V_dt_og_koldt","0_75_l_ha","V_dt_og_koldt","0_l_ha","T_rt_og_varmt","0_l_ha","____4","2___3","2___3","51___53_hkg_ha"
"1194","0_24_kg_m2","0_45_kg_m2","150___199_MJ_m2","13_0___14_9_C","5_5___6_5","0_5___1_%","5_5___6_5","0_46_kg_m2","0_50_kg_m2","150___199_MJ_m2","15_0___16_9_C","5_5___6_5","0_00___0_01__","1_04_kg_m2","1_00_kg_m2","300___349_MJ_m2","13_0___14_9_C","4_5___5_5","0_00___0_01__","1_22_kg_m2","0_50_kg_m2","350___399_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_75_l_ha","T_rt_og_varmt","0_25_l_ha","V_dt_og_koldt","0_50_l_ha","____4","0___1","____4","103___105_hkg_ha"
"1195","0_28_kg_m2","0_55_kg_m2","150___199_MJ_m2","15_0___16_9_C","4_5___5_5","2___6_%","4_5___5_5","0_50_kg_m2","0_45_kg_m2","150___199_MJ_m2","____17_0_C","3_5___4_5","0_00___0_01__","0_82_kg_m2","0_65_kg_m2","350___399_MJ_m2","13_0___14_9_C","1_5___2_5","0_00___0_01__","0_96_kg_m2","0_45_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_50_l_ha","T_rt_og_varmt","0_50_l_ha","0___1","2___3","0___1","81___83_hkg_ha"
"1196","0_42_kg_m2","0_70_kg_m2","____250_MJ_m2","13_0___14_9_C","5_5___6_5","1___2_%","5_5___6_5","0_62_kg_m2","0_45_kg_m2","150___199_MJ_m2","13_0___14_9_C","5_5___6_5","0_00___0_01__","0_92_kg_m2","0_65_kg_m2","300___349_MJ_m2","15_0___16_9_C","2_5___3_5","0_00___0_01__","1_10_kg_m2","0_45_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_25_l_ha","V_dt_og_koldt","0_50_l_ha","V_dt_og_varmt","0_l_ha","0___1","____4","____4","93___95_hkg_ha"
"1197","0_32_kg_m2","0_55_kg_m2","150___199_MJ_m2","13_0___14_9_C","3_5___4_5","25___50_%","5_5___6_5","0_48_kg_m2","0_35_kg_m2","150___199_MJ_m2","13_0___14_9_C","2_5___3_5","25___50__","0_78_kg_m2","0_65_kg_m2","300___349_MJ_m2","____17_0_C","1_5___2_5","1___2__","0_92_kg_m2","0_45_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","V_dt_og_varmt","0_l_ha","V_dt_og_koldt","0_50_l_ha","V_dt_og_varmt","0_25_l_ha","2___3","____4","____4","77___79_hkg_ha"
"1198","0_34_kg_m2","0_60_kg_m2","200___249_MJ_m2","___13_0_C","___6_5","2___6_%","5_5___6_5","0_58_kg_m2","0_50_kg_m2","150___199_MJ_m2","13_0___14_9_C","___6_5","2___6__","0_96_kg_m2","0_75_kg_m2","300___349_MJ_m2","15_0___16_9_C","3_5___4_5","0_00___0_01__","1_12_kg_m2","0_40_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_l_ha","V_dt_og_koldt","0_25_l_ha","V_dt_og_varmt","0_l_ha","____4","2___3","____4","93___95_hkg_ha"
"1199","0_18_kg_m2","0_35_kg_m2","___150_MJ_m2","13_0___14_9_C","2_5___3_5","0_5___1_%","2_5___3_5","0_48_kg_m2","0_55_kg_m2","200___249_MJ_m2","___13_0_C","3_5___4_5","0_5___1__","0_86_kg_m2","0_75_kg_m2","350___399_MJ_m2","15_0___16_9_C","2_5___3_5","0_01___0_5__","1_08_kg_m2","0_55_kg_m2","350___399_MJ_m2","____17_0_C","0_5___1_5","1___2__","V_dt_og_koldt","0_l_ha","T_rt_og_koldt","0_l_ha","V_dt_og_varmt","0_l_ha","____4","0___1","____4","91___93_hkg_ha"
"1200","0_30_kg_m2","0_55_kg_m2","200___249_MJ_m2","13_0___14_9_C","4_5___5_5","25___50_%","5_5___6_5","0_74_kg_m2","0_75_kg_m2","200___249_MJ_m2","13_0___14_9_C","4_5___5_5","0_5___1__","1_42_kg_m2","1_20_kg_m2","____400_MJ_m2","13_0___14_9_C","3_5___4_5","0_00___0_01__","1_60_kg_m2","0_60_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_25_l_ha","V_dt_og_koldt","0_75_l_ha","T_rt_og_koldt","0_25_l_ha","0___1","2___3","0___1","135___137_hkg_ha"
"1201","0_24_kg_m2","0_45_kg_m2","150___199_MJ_m2","13_0___14_9_C","3_5___4_5","25___50_%","5_5___6_5","0_54_kg_m2","0_60_kg_m2","200___249_MJ_m2","13_0___14_9_C","3_5___4_5","0_5___1__","1_04_kg_m2","0_90_kg_m2","350___399_MJ_m2","15_0___16_9_C","2_5___3_5","0_00___0_01__","1_12_kg_m2","0_40_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_75_l_ha","V_dt_og_koldt","0_50_l_ha","____4","____4","2___3","93___95_hkg_ha"
"1202","0_28_kg_m2","0_55_kg_m2","150___199_MJ_m2","___13_0_C","5_5___6_5","0_01___0_5_%","5_5___6_5","0_42_kg_m2","0_35_kg_m2","150___199_MJ_m2","____17_0_C","4_5___5_5","0_00___0_01__","0_84_kg_m2","0_80_kg_m2","300___349_MJ_m2","13_0___14_9_C","3_5___4_5","0_00___0_01__","0_98_kg_m2","0_40_kg_m2","___300_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_25_l_ha","V_dt_og_varmt","0_50_l_ha","V_dt_og_koldt","0_25_l_ha","0___1","2___3","____4","83___85_hkg_ha"
"1203","0_34_kg_m2","0_60_kg_m2","200___249_MJ_m2","____17_0_C","5_5___6_5","2___6_%","4_5___5_5","0_60_kg_m2","0_55_kg_m2","200___249_MJ_m2","____17_0_C","___6_5","0_01___0_5__","1_08_kg_m2","0_90_kg_m2","350___399_MJ_m2","15_0___16_9_C","3_5___4_5","2___6__","1_10_kg_m2","0_35_kg_m2","350___399_MJ_m2","13_0___14_9_C","0_5___1_5","2___6__","V_dt_og_varmt","0_25_l_ha","V_dt_og_varmt","0_l_ha","V_dt_og_varmt","0_25_l_ha","2___3","0___1","0___1","91___93_hkg_ha"
"1204","0_18_kg_m2","0_35_kg_m2","___150_MJ_m2","____17_0_C","4_5___5_5","0_00___0_01_%","4_5___5_5","0_40_kg_m2","0_45_kg_m2","150___199_MJ_m2","___13_0_C","3_5___4_5","0_00___0_01__","0_76_kg_m2","0_70_kg_m2","300___349_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","0_94_kg_m2","0_45_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_50_l_ha","V_dt_og_koldt","0_25_l_ha","V_dt_og_koldt","0_75_l_ha","0___1","2___3","2___3","79___81_hkg_ha"
"1205","0_38_kg_m2","0_65_kg_m2","200___249_MJ_m2","___13_0_C","5_5___6_5","2___6_%","5_5___6_5","0_56_kg_m2","0_40_kg_m2","150___199_MJ_m2","15_0___16_9_C","5_5___6_5","2___6__","1_04_kg_m2","0_95_kg_m2","300___349_MJ_m2","____17_0_C","3_5___4_5","0_00___0_01__","1_14_kg_m2","0_35_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_l_ha","T_rt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_50_l_ha","0___1","0___1","____4","97___99_hkg_ha"
"1206","0_18_kg_m2","0_40_kg_m2","___150_MJ_m2","15_0___16_9_C","___6_5","0_5___1_%","5_5___6_5","0_50_kg_m2","0_65_kg_m2","200___249_MJ_m2","13_0___14_9_C","___6_5","0_5___1__","1_12_kg_m2","1_10_kg_m2","____400_MJ_m2","15_0___16_9_C","4_5___5_5","6___10__","1_46_kg_m2","0_70_kg_m2","___300_MJ_m2","13_0___14_9_C","1_5___2_5","1___2__","T_rt_og_koldt","0_l_ha","V_dt_og_varmt","0_l_ha","V_dt_og_varmt","0_25_l_ha","0___1","____4","____4","123___125_hkg_ha"
"1207","0_24_kg_m2","0_50_kg_m2","150___199_MJ_m2","13_0___14_9_C","3_5___4_5","6___10_%","3_5___4_5","0_56_kg_m2","0_60_kg_m2","200___249_MJ_m2","____17_0_C","3_5___4_5","0_00___0_01__","1_00_kg_m2","0_85_kg_m2","____400_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","1_14_kg_m2","0_50_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_25_l_ha","T_rt_og_koldt","0_75_l_ha","V_dt_og_koldt","0_50_l_ha","____4","2___3","____4","95___97_hkg_ha"
"1208","0_32_kg_m2","0_60_kg_m2","200___249_MJ_m2","15_0___16_9_C","3_5___4_5","0_5___1_%","3_5___4_5","0_48_kg_m2","0_40_kg_m2","___150_MJ_m2","15_0___16_9_C","2_5___3_5","2___6__","0_94_kg_m2","0_90_kg_m2","350___399_MJ_m2","13_0___14_9_C","1_5___2_5","0_00___0_01__","0_92_kg_m2","0_20_kg_m2","___300_MJ_m2","____17_0_C","0_0___0_5","0_00___0_01__","V_dt_og_koldt","0_l_ha","V_dt_og_koldt","0_25_l_ha","V_dt_og_koldt","0_50_l_ha","2___3","____4","2___3","77___79_hkg_ha"
"1209","0_20_kg_m2","0_35_kg_m2","___150_MJ_m2","13_0___14_9_C","2_5___3_5","25___50_%","3_5___4_5","0_32_kg_m2","0_30_kg_m2","150___199_MJ_m2","13_0___14_9_C","1_5___2_5","0_01___0_5__","0_66_kg_m2","0_60_kg_m2","350___399_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","0_64_kg_m2","0_15_kg_m2","___300_MJ_m2","____17_0_C","0_0___0_5","0_00___0_01__","T_rt_og_koldt","0_75_l_ha","T_rt_og_koldt","0_50_l_ha","T_rt_og_varmt","0_50_l_ha","0___1","0___1","0___1","53___55_hkg_ha"
"1210","0_24_kg_m2","0_50_kg_m2","150___199_MJ_m2","13_0___14_9_C","___6_5","0_5___1_%","5_5___6_5","0_54_kg_m2","0_55_kg_m2","200___249_MJ_m2","15_0___16_9_C","5_5___6_5","1___2__","0_98_kg_m2","0_80_kg_m2","350___399_MJ_m2","15_0___16_9_C","3_5___4_5","0_00___0_01__","1_20_kg_m2","0_55_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","V_dt_og_varmt","0_l_ha","V_dt_og_koldt","0_75_l_ha","T_rt_og_koldt","0_l_ha","0___1","2___3","2___3","101___103_hkg_ha"
"1211","0_26_kg_m2","0_50_kg_m2","150___199_MJ_m2","13_0___14_9_C","5_5___6_5","0_00___0_01_%","5_5___6_5","0_68_kg_m2","0_70_kg_m2","200___249_MJ_m2","15_0___16_9_C","___6_5","0_00___0_01__","1_20_kg_m2","0_95_kg_m2","350___399_MJ_m2","____17_0_C","3_5___4_5","0_00___0_01__","1_40_kg_m2","0_55_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","V_dt_og_varmt","0_50_l_ha","T_rt_og_varmt","0_l_ha","V_dt_og_varmt","0_75_l_ha","____4","2___3","____4","119___121_hkg_ha"
"1212","0_28_kg_m2","0_50_kg_m2","150___199_MJ_m2","13_0___14_9_C","3_5___4_5","0_00___0_01_%","3_5___4_5","0_54_kg_m2","0_50_kg_m2","200___249_MJ_m2","13_0___14_9_C","3_5___4_5","0_00___0_01__","1_04_kg_m2","0_85_kg_m2","350___399_MJ_m2","15_0___16_9_C","2_5___3_5","0_00___0_01__","1_18_kg_m2","0_50_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_75_l_ha","T_rt_og_varmt","0_25_l_ha","V_dt_og_varmt","0_75_l_ha","0___1","2___3","____4","101___103_hkg_ha"
"1213","0_26_kg_m2","0_45_kg_m2","200___249_MJ_m2","15_0___16_9_C","2_5___3_5","25___50_%","4_5___5_5","0_46_kg_m2","0_40_kg_m2","150___199_MJ_m2","___13_0_C","1_5___2_5","1___2__","0_74_kg_m2","0_60_kg_m2","350___399_MJ_m2","____17_0_C","1_5___2_5","0_5___1__","0_80_kg_m2","0_35_kg_m2","___300_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_50_l_ha","V_dt_og_koldt","0_l_ha","V_dt_og_koldt","0_75_l_ha","0___1","2___3","____4","67___69_hkg_ha"
"1214","0_28_kg_m2","0_55_kg_m2","200___249_MJ_m2","13_0___14_9_C","3_5___4_5","0_00___0_01_%","4_5___5_5","0_54_kg_m2","0_50_kg_m2","150___199_MJ_m2","15_0___16_9_C","3_5___4_5","0_00___0_01__","1_08_kg_m2","0_95_kg_m2","350___399_MJ_m2","15_0___16_9_C","2_5___3_5","0_00___0_01__","1_08_kg_m2","0_30_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_75_l_ha","V_dt_og_varmt","0_75_l_ha","V_dt_og_varmt","0_l_ha","0___1","____4","2___3","91___93_hkg_ha"
"1215","0_26_kg_m2","0_50_kg_m2","150___199_MJ_m2","15_0___16_9_C","4_5___5_5","6___10_%","4_5___5_5","0_52_kg_m2","0_45_kg_m2","150___199_MJ_m2","15_0___16_9_C","3_5___4_5","10___25__","1_02_kg_m2","0_90_kg_m2","300___349_MJ_m2","13_0___14_9_C","2_5___3_5","0_5___1__","1_28_kg_m2","0_60_kg_m2","300___349_MJ_m2","____17_0_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_l_ha","T_rt_og_varmt","0_25_l_ha","V_dt_og_koldt","0_50_l_ha","2___3","2___3","2___3","107___109_hkg_ha"
"1216","0_44_kg_m2","0_70_kg_m2","____250_MJ_m2","13_0___14_9_C","4_5___5_5","1___2_%","5_5___6_5","0_68_kg_m2","0_50_kg_m2","200___249_MJ_m2","15_0___16_9_C","4_5___5_5","0_00___0_01__","1_16_kg_m2","0_90_kg_m2","300___349_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","1_36_kg_m2","0_55_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_50_l_ha","T_rt_og_varmt","0_l_ha","T_rt_og_varmt","0_25_l_ha","0___1","0___1","0___1","113___115_hkg_ha"
"1217","0_22_kg_m2","0_50_kg_m2","150___199_MJ_m2","___13_0_C","___6_5","0_00___0_01_%","___6_5","0_66_kg_m2","0_75_kg_m2","200___249_MJ_m2","13_0___14_9_C","___6_5","0_00___0_01__","1_24_kg_m2","1_05_kg_m2","350___399_MJ_m2","15_0___16_9_C","4_5___5_5","0_00___0_01__","1_50_kg_m2","0_65_kg_m2","300___349_MJ_m2","13_0___14_9_C","1_5___2_5","0_00___0_01__","V_dt_og_koldt","0_l_ha","T_rt_og_koldt","0_50_l_ha","V_dt_og_varmt","0_25_l_ha","2___3","0___1","2___3","127___129_hkg_ha"
"1218","0_14_kg_m2","0_30_kg_m2","___150_MJ_m2","___13_0_C","3_5___4_5","25___50_%","___6_5","0_56_kg_m2","0_70_kg_m2","____250_MJ_m2","13_0___14_9_C","4_5___5_5","0_01___0_5__","1_08_kg_m2","1_00_kg_m2","350___399_MJ_m2","15_0___16_9_C","2_5___3_5","0_00___0_01__","1_12_kg_m2","0_35_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_75_l_ha","V_dt_og_varmt","0_75_l_ha","V_dt_og_varmt","0_50_l_ha","2___3","____4","2___3","95___97_hkg_ha"
"1219","0_26_kg_m2","0_50_kg_m2","200___249_MJ_m2","15_0___16_9_C","2_5___3_5","25___50_%","4_5___5_5","0_44_kg_m2","0_40_kg_m2","150___199_MJ_m2","13_0___14_9_C","2_5___3_5","1___2__","0_98_kg_m2","0_95_kg_m2","350___399_MJ_m2","13_0___14_9_C","1_5___2_5","0_00___0_01__","1_02_kg_m2","0_35_kg_m2","___300_MJ_m2","____17_0_C","0_5___1_5","0_00___0_01__","T_rt_og_varmt","0_75_l_ha","V_dt_og_koldt","0_50_l_ha","T_rt_og_varmt","0_75_l_ha","2___3","____4","0___1","85___87_hkg_ha"
"1220","0_32_kg_m2","0_55_kg_m2","200___249_MJ_m2","13_0___14_9_C","2_5___3_5","25___50_%","4_5___5_5","0_54_kg_m2","0_45_kg_m2","150___199_MJ_m2","13_0___14_9_C","2_5___3_5","1___2__","0_82_kg_m2","0_60_kg_m2","300___349_MJ_m2","13_0___14_9_C","1_5___2_5","0_00___0_01__","1_04_kg_m2","0_50_kg_m2","300___349_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_50_l_ha","V_dt_og_koldt","0_25_l_ha","T_rt_og_koldt","0_50_l_ha","2___3","2___3","0___1","87___89_hkg_ha"
"1221","0_14_kg_m2","0_35_kg_m2","150___199_MJ_m2","____17_0_C","2_5___3_5","2___6_%","3_5___4_5","0_30_kg_m2","0_40_kg_m2","___150_MJ_m2","___13_0_C","2_5___3_5","10___25__","0_48_kg_m2","0_45_kg_m2","300___349_MJ_m2","____17_0_C","0_5___1_5","25___50__","0_46_kg_m2","0_15_kg_m2","300___349_MJ_m2","15_0___16_9_C","0_0___0_5","50___100__","T_rt_og_varmt","0_l_ha","V_dt_og_koldt","0_l_ha","V_dt_og_varmt","0_l_ha","0___1","2___3","2___3","39___41_hkg_ha"
"1222","0_22_kg_m2","0_45_kg_m2","200___249_MJ_m2","____17_0_C","1_5___2_5","50___100_%","5_5___6_5","0_24_kg_m2","0_15_kg_m2","200___249_MJ_m2","13_0___14_9_C","0_0___0_5","50___100__","0_14_kg_m2","0_00_kg_m2","350___399_MJ_m2","15_0___16_9_C","0_0___0_5","0_5___1__","0_18_kg_m2","0_20_kg_m2","300___349_MJ_m2","____17_0_C","0_0___0_5","6___10__","T_rt_og_varmt","0_l_ha","V_dt_og_koldt","0_75_l_ha","T_rt_og_varmt","0_l_ha","0___1","2___3","2___3","15___17_hkg_ha"
"1223","0_06_kg_m2","0_20_kg_m2","150___199_MJ_m2","13_0___14_9_C","0_5___1_5","50___100_%","3_5___4_5","0_20_kg_m2","0_30_kg_m2","____250_MJ_m2","15_0___16_9_C","0_5___1_5","25___50__","0_38_kg_m2","0_40_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_5___1__","0_32_kg_m2","0_05_kg_m2","300___349_MJ_m2","____17_0_C","0_0___0_5","0_00___0_01__","V_dt_og_varmt","0_l_ha","T_rt_og_varmt","0_50_l_ha","T_rt_og_koldt","0_75_l_ha","2___3","0___1","2___3","25___27_hkg_ha"
"1224","0_42_kg_m2","0_70_kg_m2","200___249_MJ_m2","15_0___16_9_C","5_5___6_5","6___10_%","5_5___6_5","0_54_kg_m2","0_30_kg_m2","___150_MJ_m2","____17_0_C","4_5___5_5","0_5___1__","1_06_kg_m2","0_95_kg_m2","350___399_MJ_m2","15_0___16_9_C","2_5___3_5","2___6__","1_18_kg_m2","0_45_kg_m2","___300_MJ_m2","15_0___16_9_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_50_l_ha","V_dt_og_varmt","0_l_ha","V_dt_og_varmt","0_75_l_ha","0___1","____4","____4","101___103_hkg_ha"
"1225","0_22_kg_m2","0_45_kg_m2","150___199_MJ_m2","___13_0_C","3_5___4_5","10___25_%","4_5___5_5","0_46_kg_m2","0_50_kg_m2","150___199_MJ_m2","15_0___16_9_C","3_5___4_5","1___2__","1_08_kg_m2","1_05_kg_m2","350___399_MJ_m2","13_0___14_9_C","2_5___3_5","0_00___0_01__","1_14_kg_m2","0_30_kg_m2","300___349_MJ_m2","____17_0_C","0_5___1_5","0_00___0_01__","T_rt_og_koldt","0_25_l_ha","V_dt_og_varmt","0_75_l_ha","V_dt_og_varmt","0_75_l_ha","0___1","____4","2___3","95___97_hkg_ha"
"1226","0_16_kg_m2","0_35_kg_m2","___150_MJ_m2","13_0___14_9_C","4_5___5_5","10___25_%","___6_5","0_40_kg_m2","0_45_kg_m2","150___199_MJ_m2","15_0___16_9_C","4_5___5_5","0_5___1__","1_02_kg_m2","1_10_kg_m2","350___399_MJ_m2","15_0___16_9_C","3_5___4_5","0_00___0_01__","1_12_kg_m2","0_45_kg_m2","___300_MJ_m2","13_0___14_9_C","0_5___1_5","0_00___0_01__","V_dt_og_koldt","0_25_l_ha","T_rt_og_varmt","0_75_l_ha","V_dt_og_varmt","0_50_l_ha","2___3","0___1","____4","95___97_hkg_ha"
