"","N0_7muVerMo","SubjVertMo","QGVertMotion","CombVerMo","AreaMeso_ALS","SatContMoist","RaoContMoist","CombMoisture","AreaMoDryAir","VISCloudCov","IRCloudCover","CombClouds","CldShadeOth","AMInstabMt","InsInMt","WndHodograph","OutflowFrMt","MorningBound","Boundaries","CldShadeConv","CompPlFcst","CapChange","LoLevMoistAd","InsChange","MountainFcst","Date","Scenario","ScenRelAMCIN","MorningCIN","AMCINInScen","CapInScen","ScenRelAMIns","LIfr12ZDENSd","AMDewptCalPl","AMInsWliScen","InsSclInScen","ScenRel3_4","LatestCIN","LLIW","CurPropConv","ScnRelPlFcst","PlainsFcst","N34StarFcst","R5Fcst","Dewpoints","LowLLapse","MeanRH","MidLLapse","MvmtFeatures","RHRatio","SfcWndShfDis","SynForcng","TempDis","WindAloft","WindFieldMt","WindFieldPln"
"1489","Down","Neutral","Neutral","Down","Down","Dry","Wet","VeryWet","Wet","PC","PC","PC","Clear","None","Weak","DCVZFavor","Weak","None","None","Some","IncCapDecIns","Increasing","WeakPos","Increasing","SIG","Jul16_Aug10","I","CThruK","PartInhibit","LessThanAve","MoreThanAve","ABI","N1GtLIGt_4","Neutral","LessUnstable","LessUnstable","HI","None","Weak","Slight","I","XNIL","XNIL","SIG","LowSHighN","Stable","Average","ModerateOrLe","MarkedUpper","DryMMoistL","E_W_S","NegToPos","QStationary","AllElse","LVorOther","DenvCyclone"
"1490","Down","Neutral","StrongUp","Neutral","Neutral","Dry","Dry","Dry","Dry","Cloudy","Clear","Cloudy","Cloudy","None","None","Other","None","Weak","None","None","LittleChange","LittleChange","WeakPos","Increasing","XNIL","Aug11_Aug20","G","CThruK","PartInhibit","Average","LessThanAve","G","N1GtLIGt_4","Stability","MoreUnstable","MoreUnstable","GJ","None","Moderate","Moderate","G","SIG","SIG","SIG","Other","CloseToDryAd","Dry","CloseToDryAd","NoMajor","Other","Other","PosToNeg","None","LV","Westerly","LV"
"1491","Down","Neutral","StrongUp","StrongUp","StrongUp","Dry","Neutral","Wet","VeryWet","Clear","Cloudy","Clear","Clear","None","Strong","StrongWest","Strong","Weak","Weak","Marked","LittleChange","LittleChange","WeakPos","LittleChange","SIG","Aug20_Sep15","K","CThruK","PartInhibit","Average","Average","K","N1GtLIGt_4","Neutral","MoreUnstable","MoreUnstable","ACEFK","None","Weak","Slight","K","XNIL","XNIL","SIG","LowAtStation","Steep","Average","ModerateOrLe","MarkedUpper","DryMMoistL","MovingFtorOt","SigPositive","None","LV","Westerly","SEQuad"
"1492","Neutral","WeakUp","WeakUp","Neutral","Neutral","Dry","Neutral","Dry","Neutral","Cloudy","Clear","Cloudy","PC","Weak","Weak","StrongWest","Weak","Weak","Weak","None","LittleChange","LittleChange","Negative","Decreasing","XNIL","Jul16_Aug10","I","CThruK","PartInhibit","Average","Average","ABI","N1GtLIGt_4","Neutral","LessUnstable","LessUnstable","HI","Stifling","Moderate","Slight","I","XNIL","XNIL","XNIL","LowSHighN","Steep","VeryMoist","CloseToDryAd","NoMajor","DryMMoistL","MovingFtorOt","SigNegative","QStationary","SWQuad","Westerly","DenvCyclone"
"1493","Neutral","Neutral","Down","Neutral","Neutral","Wet","Dry","Dry","Dry","PC","Clear","PC","Clear","Weak","Strong","Westerly","Strong","None","Weak","Marked","LittleChange","LittleChange","WeakPos","Increasing","SIG","Aug20_Sep15","C","CThruK","PartInhibit","Average","Average","CDEJ","N5GtLIGt_8","Stability","LessUnstable","LessUnstable","ACEFK","None","Weak","Slight","C","SIG","SIG","SIG","LowEvrywhere","Steep","Average","Steep","MarkedUpper","Other","E_W_N","SigPositive","None","NWQuad","Westerly","LV"
"1494","WeakUp","StronUp","Neutral","WeakUp","WeakUp","Neutral","Neutral","Neutral","Neutral","PC","PC","PC","Cloudy","None","None","DCVZFavor","None","None","None","None","IncCapDecIns","Increasing","WeakPos","Increasing","XNIL","Aug20_Sep15","F","CThruK","PartInhibit","Average","MoreThanAve","F","N5GtLIGt_8","Stability","Average","MoreUnstable","ACEFK","PartInhibit","Weak","None","F","XNIL","XNIL","XNIL","HighEvrywher","ModerateOrLe","VeryMoist","ModerateOrLe","NoMajor","Other","DenvCyclone","SigPositive","None","LV","LVorOther","LV"
"1495","Neutral","Neutral","Neutral","Neutral","Neutral","Dry","Neutral","VeryWet","VeryWet","PC","Clear","Clear","Clear","Strong","Strong","Westerly","Strong","None","Weak","Some","IncCapDecIns","Increasing","WeakPos","Increasing","SIG","May15_Jun14","E","CThruK","None","LessThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Stability","LessUnstable","Average","ACEFK","PartInhibit","Moderate","Moderate","E","SVR","SVR","SVR","LowSHighN","ModerateOrLe","Dry","Steep","NoMajor","MoistMDryL","DenvCyclone","LittleChange","None","SWQuad","Westerly","DenvCyclone"
"1496","Down","Neutral","Neutral","Neutral","Neutral","VeryWet","VeryWet","VeryWet","VeryWet","Clear","Clear","Clear","Clear","None","None","DCVZFavor","None","None","Weak","None","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","May15_Jun14","D","CThruK","TotalInhibit","MoreThanAve","Average","CDEJ","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","D","PartInhibit","Weak","None","D","XNIL","SIG","SIG","LowMtsHighPl","CloseToDryAd","Average","ModerateOrLe","OtherRapid","Other","Other","PosToNeg","Moving","AllElse","Westerly","WidespdDnsl"
"1497","Neutral","Neutral","Down","Neutral","Neutral","VeryWet","Neutral","Neutral","Dry","Clear","PC","PC","PC","Strong","Strong","StrongWest","Strong","Weak","Weak","Marked","IncCapDecIns","Increasing","Negative","LittleChange","SIG","Jun15_Jul1","E","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","Average","ACEFK","None","Moderate","Slight","E","XNIL","XNIL","SIG","LowEvrywhere","Steep","Average","Steep","NoMajor","Other","DryLine","PosToNeg","Other","SWQuad","Westerly","LV"
"1498","Down","Neutral","WeakUp","Down","Down","VeryWet","Neutral","Wet","Wet","PC","PC","Clear","Clear","Weak","Strong","Westerly","None","Weak","None","Marked","IncCapDecIns","Increasing","WeakPos","Increasing","SVR","Jul2_Jul15","G","CThruK","None","LessThanAve","LessThanAve","G","N5GtLIGt_8","Stability","Average","Average","GJ","None","Moderate","Moderate","G","SIG","SIG","SVR","LowAtStation","CloseToDryAd","Dry","CloseToDryAd","MarkedUpper","MoistMDryL","DryLine","LittleChange","Other","SWQuad","LVorOther","LongAnticyc"
"1499","Neutral","Neutral","Down","Neutral","Neutral","VeryWet","Neutral","Wet","Wet","PC","Clear","Clear","Clear","Strong","Strong","StrongWest","Strong","None","Weak","Marked","LittleChange","LittleChange","Neutral","Decreasing","SIG","Jul16_Aug10","E","CThruK","PartInhibit","Average","Average","CDEJ","LILt_8","Stability","MoreUnstable","Average","ACEFK","PartInhibit","Unfavorable","None","E","XNIL","XNIL","SIG","LowSHighN","CloseToDryAd","Dry","Steep","NoMajor","MoistMDryL","None","LittleChange","None","SWQuad","Westerly","LongAnticyc"
"1500","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Clear","Clear","Clear","Clear","Weak","Strong","DCVZFavor","Strong","None","Weak","Some","DecCapIncIns","Decreasing","StrongPos","Increasing","SIG","Jun15_Jul1","E","CThruK","None","LessThanAve","LessThanAve","CDEJ","N5GtLIGt_8","Stability","MoreUnstable","MoreUnstable","ACEFK","None","Moderate","Moderate","E","XNIL","XNIL","SIG","LowSHighN","CloseToDryAd","Average","ModerateOrLe","NoMajor","Other","MovingFtorOt","NegToPos","None","AllElse","Westerly","LongAnticyc"
"1501","WeakUp","StronUp","Down","StrongUp","StrongUp","Wet","Wet","Wet","Wet","Clear","PC","PC","PC","Weak","Strong","StrongWest","Strong","Strong","Strong","Marked","DecCapIncIns","Decreasing","WeakPos","Decreasing","XNIL","May15_Jun14","I","CThruK","PartInhibit","Average","LessThanAve","ABI","LIGt0","Instability","LessUnstable","LessUnstable","HI","PartInhibit","Strong","Strong","I","XNIL","XNIL","XNIL","LowSHighN","Stable","Average","ModerateOrLe","NoMajor","DryMMoistL","E_W_S","SigNegative","QStationary","NWQuad","Westerly","E_NE"
"1502","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Wet","Neutral","Neutral","Clear","PC","Clear","Clear","None","None","DCVZFavor","None","Weak","Weak","None","IncCapDecIns","Increasing","Neutral","Increasing","XNIL","Jul16_Aug10","E","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N5GtLIGt_8","Stability","LessUnstable","MoreUnstable","ACEFK","None","Moderate","Moderate","E","XNIL","SVR","SVR","LowSHighN","ModerateOrLe","Average","ModerateOrLe","NoMajor","MoistMDryL","DenvCyclone","LittleChange","None","AllElse","Westerly","LV"
"1503","Neutral","Neutral","WeakUp","WeakUp","WeakUp","Neutral","VeryWet","VeryWet","Wet","Clear","Cloudy","Clear","Clear","None","None","StrongWest","None","None","Weak","None","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","Aug11_Aug20","I","CThruK","None","LessThanAve","LessThanAve","ABI","LILt_8","Stability","MoreUnstable","LessUnstable","HI","PartInhibit","Weak","Slight","I","XNIL","XNIL","XNIL","LowSHighN","CloseToDryAd","Average","Steep","NoMajor","Other","E_W_S","SigPositive","QStationary","SWQuad","Westerly","LV"
"1504","WeakUp","WeakUp","Down","Down","Down","Neutral","Dry","Dry","Dry","PC","Clear","PC","PC","Weak","Strong","Westerly","Strong","Weak","Weak","Marked","IncCapDecIns","Increasing","Neutral","Increasing","SIG","May15_Jun14","H","CThruK","PartInhibit","LessThanAve","LessThanAve","H","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","HI","None","Moderate","Strong","H","XNIL","XNIL","SIG","LowMtsHighPl","Stable","VeryMoist","Steep","OtherRapid","DryMMoistL","E_W_S","NegToPos","None","LV","LVorOther","E_NE"
"1505","WeakUp","Neutral","StrongUp","WeakUp","WeakUp","Dry","Neutral","Neutral","Neutral","PC","PC","PC","PC","Strong","Strong","Other","None","Weak","Weak","None","DecCapIncIns","Decreasing","Neutral","LittleChange","SIG","Aug20_Sep15","K","CThruK","PartInhibit","MoreThanAve","MoreThanAve","K","N1GtLIGt_4","Stability","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Strong","Strong","K","XNIL","XNIL","SIG","Other","ModerateOrLe","Dry","Steep","NoMajor","Other","None","SigNegative","Moving","NWQuad","LVorOther","DenvCyclone"
"1506","Down","Down","WeakUp","Down","Down","Neutral","Neutral","Neutral","Dry","PC","Clear","PC","PC","Weak","Strong","DCVZFavor","Weak","None","Weak","Marked","LittleChange","LittleChange","Negative","Decreasing","SVR","Aug20_Sep15","C","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","N5GtLIGt_8","Neutral","LessUnstable","LessUnstable","ACEFK","None","Weak","Moderate","C","XNIL","XNIL","SVR","LowAtStation","CloseToDryAd","Dry","Steep","OtherRapid","Other","E_W_S","NegToPos","Other","NWQuad","Westerly","LongAnticyc"
"1507","StrongUp","Neutral","Neutral","WeakUp","WeakUp","Wet","Dry","Wet","Wet","Cloudy","PC","Cloudy","Cloudy","None","None","StrongWest","None","Weak","Weak","None","IncCapDecIns","Increasing","Neutral","LittleChange","XNIL","Jun15_Jul1","F","CThruK","PartInhibit","Average","MoreThanAve","F","LILt_8","Stability","MoreUnstable","MoreUnstable","ACEFK","Stifling","Moderate","Moderate","F","XNIL","XNIL","XNIL","HighEvrywher","ModerateOrLe","VeryMoist","ModerateOrLe","NoMajor","Other","None","SigPositive","None","AllElse","LVorOther","E_NE"
"1508","WeakUp","Neutral","Neutral","Neutral","Neutral","Wet","Neutral","Wet","VeryWet","Cloudy","PC","Cloudy","Cloudy","Strong","Weak","DCVZFavor","Weak","None","Weak","Some","IncCapDecIns","Increasing","Negative","LittleChange","XNIL","Jun15_Jul1","D","CThruK","Stifling","Average","MoreThanAve","CDEJ","N1GtLIGt_4","Stability","MoreUnstable","MoreUnstable","D","None","Weak","Slight","D","SVR","SVR","SVR","LowSHighN","CloseToDryAd","Dry","ModerateOrLe","StrongFront","MoistMDryL","DenvCyclone","SigNegative","Other","SWQuad","LVorOther","DenvCyclone"
"1509","Down","Down","Neutral","Down","Down","Dry","VeryWet","Dry","Dry","Clear","PC","Clear","Clear","Strong","Strong","StrongWest","Strong","Weak","Weak","Marked","IncCapDecIns","Increasing","Neutral","LittleChange","SVR","May15_Jun14","A","AB","PartInhibit","LessThanAve","Average","ABI","N5GtLIGt_8","Stability","LessUnstable","LessUnstable","ACEFK","None","Moderate","Moderate","A","XNIL","XNIL","SVR","Other","Stable","Average","Steep","StrongFront","Other","DenvCyclone","SigNegative","Other","SWQuad","LVorOther","SEQuad"
"1510","Down","Neutral","Down","Down","Down","VeryWet","Neutral","Wet","Neutral","Clear","Cloudy","PC","PC","Weak","Strong","StrongWest","Strong","Strong","Strong","Marked","IncCapDecIns","Increasing","StrongPos","Increasing","XNIL","Jul16_Aug10","I","CThruK","Stifling","MoreThanAve","MoreThanAve","ABI","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","HI","None","Weak","Strong","I","SVR","SVR","SVR","LowSHighN","Steep","Average","CloseToDryAd","StrongFront","DryMMoistL","MovingFtorOt","NegToPos","QStationary","SWQuad","Westerly","DenvCyclone"
"1511","WeakUp","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Clear","PC","PC","PC","None","Weak","Other","None","Weak","Weak","None","LittleChange","LittleChange","StrongPos","Increasing","SIG","Aug20_Sep15","K","CThruK","PartInhibit","LessThanAve","LessThanAve","K","LILt_8","Instability","LessUnstable","LessUnstable","ACEFK","TotalInhibit","Moderate","None","K","XNIL","XNIL","SIG","LowAtStation","ModerateOrLe","Dry","CloseToDryAd","MarkedUpper","Other","DryLine","PosToNeg","None","NWQuad","Westerly","WidespdDnsl"
"1512","Neutral","Neutral","Neutral","Neutral","Neutral","Wet","Wet","VeryWet","VeryWet","Cloudy","Clear","Cloudy","Cloudy","Weak","Strong","Westerly","Strong","None","Weak","Marked","IncCapDecIns","Increasing","Negative","LittleChange","SIG","Jun15_Jul1","J","CThruK","TotalInhibit","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Instability","Average","LessUnstable","GJ","PartInhibit","Weak","Slight","J","XNIL","XNIL","SIG","LowAtStation","CloseToDryAd","Average","Steep","NoMajor","MoistMDryL","DryLine","LittleChange","QStationary","LV","LVorOther","LongAnticyc"
"1513","Down","Neutral","Down","Down","Down","Neutral","Neutral","Neutral","Dry","Clear","PC","PC","PC","Weak","Weak","DCVZFavor","None","Strong","Strong","Some","IncCapDecIns","Increasing","StrongPos","Increasing","SIG","Aug20_Sep15","E","CThruK","PartInhibit","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Instability","Average","Average","ACEFK","PartInhibit","Weak","Moderate","E","XNIL","XNIL","SIG","LowMtsHighPl","ModerateOrLe","Average","Steep","NoMajor","Other","None","SigNegative","None","SWQuad","LVorOther","DenvCyclone"
"1514","Neutral","Neutral","StrongUp","WeakUp","WeakUp","Neutral","VeryWet","Wet","VeryWet","Clear","PC","Clear","Clear","None","Weak","Other","None","Weak","Weak","None","LittleChange","LittleChange","Neutral","LittleChange","SIG","May15_Jun14","E","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","Average","ACEFK","PartInhibit","Weak","None","E","XNIL","XNIL","SIG","LowAtStation","Steep","Dry","ModerateOrLe","NoMajor","MoistMDryL","None","PosToNeg","None","SWQuad","Westerly","LV"
"1515","Down","Neutral","Down","Down","Down","Dry","Dry","Neutral","Neutral","PC","PC","Clear","Clear","Weak","Strong","StrongWest","Strong","Strong","Strong","Marked","IncCapDecIns","Increasing","WeakPos","Increasing","SVR","May15_Jun14","B","AB","None","LessThanAve","Average","ABI","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","B","None","Unfavorable","None","B","SIG","SIG","SVR","LowMtsHighPl","Steep","Average","Steep","NoMajor","Other","DenvCyclone","PosToNeg","Other","NWQuad","LVorOther","DenvCyclone"
"1516","Down","Neutral","Down","Down","Down","Neutral","Neutral","Dry","Dry","PC","PC","PC","Clear","Weak","Strong","Other","None","Weak","Weak","None","IncCapDecIns","Increasing","Negative","LittleChange","XNIL","Jun15_Jul1","G","CThruK","None","LessThanAve","MoreThanAve","G","N1GtLIGt_4","Neutral","LessUnstable","LessUnstable","GJ","None","Strong","Strong","G","XNIL","XNIL","XNIL","Other","CloseToDryAd","Dry","CloseToDryAd","MarkedUpper","Other","E_W_S","PosToNeg","None","LV","Westerly","LongAnticyc"
"1517","WeakUp","Down","Neutral","Neutral","Neutral","VeryWet","Neutral","VeryWet","VeryWet","PC","Clear","Clear","Clear","None","Weak","Other","None","Weak","None","None","LittleChange","LittleChange","Neutral","LittleChange","SIG","Jul16_Aug10","J","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","GJ","PartInhibit","Moderate","Moderate","J","XNIL","XNIL","SIG","LowAtStation","Steep","Average","Steep","NoMajor","MoistMDryL","Other","LittleChange","QStationary","LV","LVorOther","WidespdDnsl"
"1518","WeakUp","Neutral","Neutral","Neutral","Neutral","Dry","VeryWet","Neutral","Neutral","PC","PC","PC","Clear","Strong","Strong","DCVZFavor","Strong","None","Strong","Some","IncCapDecIns","Increasing","Negative","LittleChange","SVR","May15_Jun14","G","CThruK","PartInhibit","LessThanAve","MoreThanAve","G","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","GJ","Stifling","Moderate","None","G","SIG","SIG","SVR","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","NoMajor","Other","None","PosToNeg","Other","AllElse","Westerly","LongAnticyc"
"1519","Down","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Clear","Clear","Clear","Clear","None","None","Westerly","None","Strong","Strong","None","DecCapIncIns","Decreasing","WeakPos","LittleChange","XNIL","May15_Jun14","G","CThruK","Stifling","MoreThanAve","MoreThanAve","G","N1GtLIGt_4","Instability","Average","LessUnstable","GJ","Stifling","Moderate","None","G","XNIL","XNIL","XNIL","LowMtsHighPl","CloseToDryAd","Dry","CloseToDryAd","NoMajor","MoistMDryL","None","SigNegative","None","SWQuad","Westerly","E_NE"
"1520","StrongUp","Neutral","StrongUp","WeakUp","WeakUp","VeryWet","Wet","VeryWet","VeryWet","PC","Cloudy","PC","Cloudy","Strong","Strong","StrongWest","Strong","None","Weak","Marked","IncCapDecIns","Increasing","Negative","LittleChange","SVR","Jun15_Jul1","C","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","N5GtLIGt_8","Stability","MoreUnstable","MoreUnstable","ACEFK","Stifling","Moderate","Slight","C","SVR","SVR","SVR","LowEvrywhere","Steep","Average","CloseToDryAd","NoMajor","MoistMDryL","E_W_N","NegToPos","Other","AllElse","Westerly","LongAnticyc"
"1521","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Dry","Dry","Dry","Clear","Cloudy","PC","PC","None","Weak","StrongWest","Strong","None","Weak","Some","LittleChange","LittleChange","Neutral","Decreasing","XNIL","Aug20_Sep15","K","CThruK","Stifling","MoreThanAve","MoreThanAve","K","N5GtLIGt_8","Stability","Average","Average","ACEFK","PartInhibit","Moderate","Slight","K","XNIL","XNIL","XNIL","Other","Stable","Average","ModerateOrLe","StrongFront","DryMMoistL","None","SigPositive","Other","AllElse","Westerly","WidespdDnsl"
"1522","Down","StronUp","StrongUp","StrongUp","StrongUp","Wet","Dry","Wet","Wet","PC","PC","PC","Cloudy","None","None","StrongWest","None","None","None","None","DecCapIncIns","Decreasing","WeakPos","LittleChange","XNIL","May15_Jun14","C","CThruK","PartInhibit","Average","LessThanAve","CDEJ","N5GtLIGt_8","Neutral","Average","Average","ACEFK","Stifling","Moderate","Strong","C","XNIL","XNIL","XNIL","LowAtStation","CloseToDryAd","Average","ModerateOrLe","OtherRapid","MoistMDryL","None","SigPositive","Other","NWQuad","Westerly","LongAnticyc"
"1523","WeakUp","Neutral","Neutral","WeakUp","WeakUp","VeryWet","Neutral","Wet","VeryWet","PC","Clear","PC","PC","Weak","Strong","Westerly","Strong","Weak","Strong","Marked","IncCapDecIns","Increasing","Neutral","LittleChange","SIG","Jul16_Aug10","C","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","LIGt0","Neutral","LessUnstable","Average","ACEFK","PartInhibit","Weak","Moderate","C","XNIL","XNIL","SIG","LowEvrywhere","CloseToDryAd","Dry","Steep","OtherRapid","MoistMDryL","E_W_N","SigPositive","Other","NWQuad","Westerly","LongAnticyc"
"1524","Neutral","StronUp","Neutral","WeakUp","WeakUp","Neutral","Dry","Dry","Dry","Clear","Cloudy","Clear","Clear","None","None","DCVZFavor","None","Strong","Strong","None","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","Jul16_Aug10","E","CThruK","Stifling","Average","LessThanAve","CDEJ","N1GtLIGt_4","Stability","Average","LessUnstable","ACEFK","PartInhibit","Weak","Slight","E","SIG","SIG","SIG","LowSHighN","Stable","Average","ModerateOrLe","NoMajor","MoistMDryL","None","NegToPos","None","SWQuad","Westerly","WidespdDnsl"
"1525","WeakUp","Neutral","Neutral","WeakUp","WeakUp","Neutral","Dry","Neutral","Neutral","Clear","Clear","Clear","Clear","Weak","Strong","Other","Weak","None","None","None","LittleChange","LittleChange","Neutral","LittleChange","SVR","Jun15_Jul1","H","CThruK","PartInhibit","LessThanAve","LessThanAve","H","N5GtLIGt_8","Neutral","MoreUnstable","MoreUnstable","HI","PartInhibit","Unfavorable","None","H","XNIL","XNIL","SVR","LowMtsHighPl","Stable","Average","Steep","MarkedUpper","DryMMoistL","E_W_N","SigPositive","None","NWQuad","Westerly","SEQuad"
"1526","StrongUp","Neutral","Neutral","WeakUp","WeakUp","Wet","Dry","Dry","Dry","PC","Cloudy","Cloudy","Cloudy","Weak","Weak","DCVZFavor","None","Weak","Weak","Some","IncCapDecIns","Increasing","Neutral","Increasing","SIG","Jul2_Jul15","K","CThruK","Stifling","MoreThanAve","MoreThanAve","K","N1GtLIGt_4","Stability","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Strong","Strong","K","SIG","SIG","SIG","LowMtsHighPl","ModerateOrLe","Dry","ModerateOrLe","StrongFront","Other","E_W_S","SigPositive","Other","SWQuad","LVorOther","WidespdDnsl"
"1527","StrongUp","Neutral","Neutral","WeakUp","WeakUp","VeryWet","Neutral","Neutral","Neutral","PC","PC","PC","Cloudy","Strong","Strong","StrongWest","Strong","Weak","Weak","Some","IncCapDecIns","Increasing","Neutral","Increasing","XNIL","Jul16_Aug10","E","CThruK","None","LessThanAve","LessThanAve","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","ACEFK","None","Weak","Slight","E","XNIL","XNIL","XNIL","LowEvrywhere","Steep","Dry","ModerateOrLe","NoMajor","MoistMDryL","E_W_N","SigNegative","Moving","AllElse","Westerly","LV"
"1528","Neutral","Down","Neutral","Neutral","Neutral","Neutral","Neutral","Wet","VeryWet","Cloudy","Cloudy","Cloudy","Cloudy","Weak","Weak","DCVZFavor","None","Weak","Weak","Some","LittleChange","LittleChange","StrongPos","LittleChange","SIG","Aug20_Sep15","A","AB","Stifling","Average","Average","ABI","N5GtLIGt_8","Stability","Average","LessUnstable","ACEFK","Stifling","Strong","Moderate","A","XNIL","XNIL","SIG","LowSHighN","Stable","Average","CloseToDryAd","MarkedUpper","DryMMoistL","DenvCyclone","NegToPos","Other","SWQuad","Westerly","DenvCyclone"
"1529","WeakUp","Down","Down","Down","Down","Neutral","Neutral","Dry","Dry","Clear","PC","Clear","Clear","None","None","DCVZFavor","None","Strong","Strong","None","IncCapDecIns","Increasing","WeakPos","Increasing","XNIL","Aug20_Sep15","J","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","N5GtLIGt_8","Stability","Average","MoreUnstable","GJ","PartInhibit","Weak","None","J","SVR","SVR","SVR","LowAtStation","Steep","Dry","Steep","NoMajor","MoistMDryL","DryLine","LittleChange","None","LV","LVorOther","LV"
"1530","StrongUp","StronUp","WeakUp","StrongUp","StrongUp","Neutral","Dry","Dry","Neutral","PC","Cloudy","PC","Clear","Weak","Strong","Westerly","Strong","None","Strong","Marked","IncCapDecIns","Increasing","Negative","LittleChange","XNIL","May15_Jun14","G","CThruK","Stifling","Average","MoreThanAve","G","N5GtLIGt_8","Neutral","Average","LessUnstable","GJ","PartInhibit","Moderate","Slight","G","XNIL","XNIL","XNIL","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","NoMajor","MoistMDryL","DryLine","LittleChange","None","SWQuad","Westerly","WidespdDnsl"
"1531","Neutral","Neutral","StrongUp","StrongUp","StrongUp","Neutral","Dry","Neutral","VeryWet","Clear","PC","Clear","Clear","Weak","Strong","StrongWest","Strong","None","Strong","Some","DecCapIncIns","Decreasing","Negative","Decreasing","SVR","May15_Jun14","G","CThruK","PartInhibit","Average","LessThanAve","G","N1GtLIGt_4","Stability","Average","Average","GJ","Stifling","Moderate","None","G","XNIL","XNIL","SVR","LowAtStation","CloseToDryAd","Average","CloseToDryAd","MarkedUpper","MoistMDryL","E_W_S","LittleChange","None","NWQuad","Westerly","LV"
"1532","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","PC","Clear","PC","PC","None","Weak","Westerly","Weak","None","Weak","None","IncCapDecIns","Increasing","WeakPos","Increasing","SIG","May15_Jun14","J","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","GJ","Stifling","Strong","Slight","J","SIG","SIG","SIG","LowAtStation","CloseToDryAd","Average","Steep","NoMajor","Other","DryLine","LittleChange","None","LV","LVorOther","LongAnticyc"
"1533","Down","WeakUp","StrongUp","Neutral","Neutral","Wet","Dry","Wet","Wet","PC","PC","PC","PC","Weak","Strong","DCVZFavor","Weak","None","None","Marked","LittleChange","LittleChange","WeakPos","Increasing","SIG","Jul2_Jul15","G","CThruK","None","Average","Average","G","N1GtLIGt_4","Stability","Average","MoreUnstable","GJ","Stifling","Unfavorable","None","G","SIG","SIG","SIG","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","NoMajor","Other","DryLine","SigNegative","None","SWQuad","Westerly","LongAnticyc"
"1534","Down","Neutral","Neutral","Down","Down","Neutral","Neutral","Dry","Dry","Clear","PC","Clear","Clear","Weak","Strong","DCVZFavor","Weak","Weak","Weak","Some","LittleChange","LittleChange","WeakPos","LittleChange","SIG","Jun15_Jul1","J","CThruK","Stifling","Average","Average","CDEJ","N1GtLIGt_4","Neutral","LessUnstable","LessUnstable","GJ","None","Weak","Slight","J","XNIL","XNIL","SIG","LowMtsHighPl","Stable","Dry","Steep","NoMajor","MoistMDryL","DryLine","LittleChange","None","LV","LVorOther","E_NE"
"1535","Neutral","Down","Neutral","Neutral","Neutral","Dry","Neutral","Dry","Dry","Clear","PC","PC","PC","Strong","Strong","DCVZFavor","Strong","Weak","Strong","Marked","LittleChange","LittleChange","Negative","Decreasing","SIG","Aug20_Sep15","H","CThruK","PartInhibit","Average","Average","H","N1GtLIGt_4","Neutral","Average","LessUnstable","HI","PartInhibit","Moderate","Strong","H","XNIL","XNIL","SIG","LowMtsHighPl","Stable","Average","ModerateOrLe","MarkedUpper","DryMMoistL","None","SigPositive","None","NWQuad","LVorOther","SEQuad"
